,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_parncutt_prior_mu,params_parncutt_prior_sigma,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.057291666666666664,2023-04-04 04:05:55.268868,2023-04-04 04:05:56.022888,0 days 00:00:00.754020,0.894274039537877,202,12,55,6.625257637177617,3.1028563878768267,4.026363029959594,COMPLETE
1,1,0.6354166666666666,2023-04-04 04:05:56.023191,2023-04-04 04:06:01.122624,0 days 00:00:05.099433,0.09348012409646995,186,27,127,7.6717253133410805,6.513740289275505,5.608354878368776,COMPLETE
2,2,0.2708333333333333,2023-04-04 04:06:01.122928,2023-04-04 04:06:03.004229,0 days 00:00:01.881301,0.30585678430112456,215,24,247,3.459812954570784,9.554783974055258,7.689750930521209,COMPLETE
3,3,0.09895833333333333,2023-04-04 04:06:03.004542,2023-04-04 04:06:04.886616,0 days 00:00:01.882074,0.3441826151863616,270,25,257,7.503412485202175,1.9371985539662928,8.487548933809151,COMPLETE
4,4,0.5416666666666666,2023-04-04 04:06:04.886934,2023-04-04 04:06:06.707908,0 days 00:00:01.820974,0.38693214722598696,272,15,94,2.985143733865868,4.550001445931306,7.11129218300181,COMPLETE
5,5,0.0625,2023-04-04 04:06:06.708220,2023-04-04 04:06:13.864693,0 days 00:00:07.156473,0.08363679507885675,237,37,22,6.803772794337012,7.739651815699018,0.6942053247309814,COMPLETE
6,6,0.07291666666666667,2023-04-04 04:06:13.865167,2023-04-04 04:06:15.152426,0 days 00:00:01.287259,0.5873801084344643,276,15,256,5.844195392181177,5.63181886424523,6.830094120071894,COMPLETE
7,7,0.359375,2023-04-04 04:06:15.152768,2023-04-04 04:06:16.401371,0 days 00:00:01.248603,0.347951485099973,183,47,176,4.1541092906981945,8.108666590595178,7.406543617421048,COMPLETE
8,8,0.453125,2023-04-04 04:06:16.401681,2023-04-04 04:06:17.420244,0 days 00:00:01.018563,0.8128432516693398,280,16,82,1.320105556437318,4.8659728927811,3.257309894813155,COMPLETE
9,9,0.5885416666666666,2023-04-04 04:06:17.420564,2023-04-04 04:06:18.347783,0 days 00:00:00.927219,0.6415782447109803,228,42,126,1.251762404312902,1.0356472088124065,1.00995879133829,COMPLETE
