,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_resonance_prior_beta,params_resonance_prior_bpm_ext,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.453125,2023-04-04 02:07:39.915367,2023-04-04 02:07:41.742490,0 days 00:00:01.827123,0.2756249840646278,200,26,7.552744710822492,262,6.705026920422846,6.704810397816249,COMPLETE
1,1,0.140625,2023-04-04 02:07:41.742802,2023-04-04 02:07:42.619253,0 days 00:00:00.876451,0.6103352659442662,200,40,1.0651330853821392,199,8.155559244793732,8.344516115131174,COMPLETE
2,2,0.18229166666666666,2023-04-04 02:07:42.619567,2023-04-04 02:07:46.474074,0 days 00:00:03.854507,0.17721147181778585,298,28,6.538552826721978,246,3.471108400616103,8.259167610888884,COMPLETE
3,3,0.28125,2023-04-04 02:07:46.474392,2023-04-04 02:07:50.626943,0 days 00:00:04.152551,0.17835423259181674,287,18,7.680437968256688,185,5.163949264443804,5.858169118863474,COMPLETE
4,4,0.3385416666666667,2023-04-04 02:07:50.627269,2023-04-04 02:07:51.715441,0 days 00:00:01.088172,0.448145595697058,186,29,3.141913798912318,219,1.391438453213282,7.4398938422713785,COMPLETE
5,5,0.23958333333333334,2023-04-04 02:07:51.715761,2023-04-04 02:07:52.584412,0 days 00:00:00.868651,0.689898184885191,229,44,5.065486618231295,257,2.8246742899758135,3.780522075027358,COMPLETE
6,6,0.3072916666666667,2023-04-04 02:07:52.584734,2023-04-04 02:07:53.393356,0 days 00:00:00.808622,0.8500836474405677,244,37,4.399575184787262,185,2.997821951068959,3.0852752327584465,COMPLETE
7,7,0.3489583333333333,2023-04-04 02:07:53.393675,2023-04-04 02:07:54.253789,0 days 00:00:00.860114,0.9035268948859653,259,24,5.617542840526815,100,9.932173394071974,6.043944919558321,COMPLETE
8,8,0.4635416666666667,2023-04-04 02:07:54.254102,2023-04-04 02:07:55.904357,0 days 00:00:01.650255,0.43154640643274317,298,39,6.774792094403495,94,5.931451897016658,8.001712850086612,COMPLETE
9,9,0.17708333333333334,2023-04-04 02:07:55.904676,2023-04-04 02:07:56.626523,0 days 00:00:00.721847,0.8770671423748979,223,50,6.445349830549788,164,1.8754076755656768,9.301012833878255,COMPLETE
10,10,0.16666666666666666,2023-04-04 02:07:56.626837,2023-04-04 02:09:09.404465,0 days 00:01:12.777628,0.013921351921438008,274,10,3.392735198407542,33,5.155643010118992,1.1833205387657273,COMPLETE
11,11,0.28125,2023-04-04 02:09:09.404820,2023-04-04 02:09:10.848111,0 days 00:00:01.443291,0.3904000567307244,211,34,7.859679006186579,295,6.971068377438025,6.879766547267528,COMPLETE
12,12,0.5260416666666666,2023-04-04 02:09:10.848572,2023-04-04 02:09:12.268291,0 days 00:00:01.419719,0.34013352114385204,183,21,6.770583705391156,112,6.559661112604734,9.594207664636208,COMPLETE
13,13,0.3177083333333333,2023-04-04 02:09:12.268611,2023-04-04 02:09:13.581238,0 days 00:00:01.312627,0.5330957922585883,257,18,6.270913795331454,112,6.198556044175876,9.554662776298025,COMPLETE
14,14,0.4947916666666667,2023-04-04 02:09:13.581557,2023-04-04 02:09:14.902330,0 days 00:00:01.320773,0.3713264210953875,186,20,6.837737849299949,105,4.630624738009192,9.698909373806142,COMPLETE
15,15,0.005208333333333333,2023-04-04 02:09:14.902665,2023-04-04 02:09:16.340367,0 days 00:00:01.437702,0.32935859189181665,185,19,5.17910344938514,41,4.337976359635958,9.94160597946104,COMPLETE
16,16,0.4583333333333333,2023-04-04 02:09:16.340681,2023-04-04 02:09:17.354936,0 days 00:00:01.014255,0.5387173212796013,182,11,7.939579100572947,124,4.021230853376652,9.00536271004713,COMPLETE
17,17,0.453125,2023-04-04 02:09:17.355259,2023-04-04 02:09:19.141942,0 days 00:00:01.786683,0.29889027164210724,199,22,5.827723684464699,65,0.5770620667571409,9.692056504473324,COMPLETE
18,18,0.3177083333333333,2023-04-04 02:09:19.142282,2023-04-04 02:09:20.151194,0 days 00:00:01.008912,0.6427188383281949,216,15,7.049032976727202,137,7.651636808534454,8.578037823995588,COMPLETE
19,19,0.005208333333333333,2023-04-04 02:09:20.151513,2023-04-04 02:09:21.424962,0 days 00:00:01.273449,0.48570915421686045,242,32,6.903133733116901,11,4.807919085688396,7.410925769356094,COMPLETE
20,20,0.3958333333333333,2023-04-04 02:09:21.425291,2023-04-04 02:09:22.765385,0 days 00:00:01.340094,0.3978343505353055,193,14,4.375182368353087,66,5.894451420975852,9.970813477135088,COMPLETE
21,21,0.515625,2023-04-04 02:09:22.765707,2023-04-04 02:09:24.354132,0 days 00:00:01.588425,0.41144381914794226,276,42,7.010899413316729,88,5.727820797740029,8.05747173798089,COMPLETE
22,22,0.15104166666666666,2023-04-04 02:09:24.354457,2023-04-04 02:09:26.141868,0 days 00:00:01.787411,0.3492843769691589,274,49,7.168687368200671,73,5.427605334510174,8.912459656334962,COMPLETE
23,23,0.453125,2023-04-04 02:09:26.142195,2023-04-04 02:09:28.465761,0 days 00:00:02.323566,0.22143211116604686,211,21,6.046397619139887,152,4.346211555859242,8.824832022532373,COMPLETE
24,24,0.34375,2023-04-04 02:09:28.466085,2023-04-04 02:09:29.763499,0 days 00:00:01.297414,0.4862277516593856,256,44,7.33169855659745,137,6.728986353673931,8.049120862554526,COMPLETE
25,25,0.4270833333333333,2023-04-04 02:09:29.763822,2023-04-04 02:09:31.324903,0 days 00:00:01.561081,0.3640441854735064,228,23,7.989147294601052,105,4.807199467196298,9.986314656991972,COMPLETE
26,26,0.4479166666666667,2023-04-04 02:09:31.325228,2023-04-04 02:09:33.759290,0 days 00:00:02.434062,0.26292549568388157,266,32,6.596297035354861,86,5.689016477157356,8.677635577011491,COMPLETE
27,27,0.171875,2023-04-04 02:09:33.759614,2023-04-04 02:09:35.502838,0 days 00:00:01.743224,0.41936858309150044,284,15,5.671945991178419,50,3.7194238014550023,9.305503173135518,COMPLETE
28,28,0.2916666666666667,2023-04-04 02:09:35.503168,2023-04-04 02:09:36.156197,0 days 00:00:00.653029,0.9969430699434443,194,26,7.269389624514962,127,4.506953669577203,7.701826672749753,COMPLETE
29,29,0.5052083333333334,2023-04-04 02:09:36.156521,2023-04-04 02:09:37.948629,0 days 00:00:01.792108,0.2878297347816355,204,26,7.450827320705407,153,6.422959488974201,6.896771798409697,COMPLETE
30,30,0.5104166666666666,2023-04-04 02:09:37.948955,2023-04-04 02:09:40.189386,0 days 00:00:02.240431,0.22891510521438285,201,25,7.458157797999046,151,6.417133074748525,6.788447489170183,COMPLETE
31,31,0.4739583333333333,2023-04-04 02:09:40.189717,2023-04-04 02:09:41.944815,0 days 00:00:01.755098,0.29518621580362914,204,26,7.520107380689688,169,6.514097266409434,6.881705105124331,COMPLETE
32,32,0.46875,2023-04-04 02:09:41.945138,2023-04-04 02:09:44.146553,0 days 00:00:02.201415,0.2380312760093794,205,26,7.436502258476504,217,7.213073993703146,6.664268463988715,COMPLETE
33,33,0.5416666666666666,2023-04-04 02:09:44.146881,2023-04-04 02:09:46.811450,0 days 00:00:02.664569,0.17629852345458127,193,35,6.281926824734169,147,6.272418426050754,8.23465741044688,COMPLETE
34,34,0.59375,2023-04-04 02:09:46.811773,2023-04-04 02:09:49.901168,0 days 00:00:03.089395,0.13384080254453512,180,43,6.32259595159439,182,7.4855394412055976,8.29766939080552,COMPLETE
35,35,0.5260416666666666,2023-04-04 02:09:49.901504,2023-04-04 02:09:53.822483,0 days 00:00:03.920979,0.11635387401571741,192,43,6.281618457798161,214,8.06370826279476,8.220922660679342,COMPLETE
36,36,0.515625,2023-04-04 02:09:53.822815,2023-04-04 02:09:59.456791,0 days 00:00:05.633976,0.07657047905014941,188,47,6.304012192173969,225,8.289190018424087,8.300689648071643,COMPLETE
37,37,0.578125,2023-04-04 02:09:59.457126,2023-04-04 02:10:02.470794,0 days 00:00:03.013668,0.14347872647344748,180,37,5.362771776817409,193,8.18057674323726,7.578788233202385,COMPLETE
38,38,0.5104166666666666,2023-04-04 02:10:02.471121,2023-04-04 02:10:04.722774,0 days 00:00:02.251653,0.19429970065111832,182,37,5.253423760101902,188,7.387932545998504,9.266411906723908,COMPLETE
39,39,0.5625,2023-04-04 02:10:04.723099,2023-04-04 02:10:07.552073,0 days 00:00:02.828974,0.15372291412689074,180,37,5.4931113187709935,192,8.709982501085847,7.6593740323781745,COMPLETE
40,40,0.5104166666666666,2023-04-04 02:10:07.552406,2023-04-04 02:10:11.261583,0 days 00:00:03.709177,0.1329560559621416,196,36,4.643188184638353,198,8.869536962227619,7.480595210826282,COMPLETE
41,41,0.5572916666666666,2023-04-04 02:10:11.261920,2023-04-04 02:10:13.856394,0 days 00:00:02.594474,0.16627388876855853,181,40,5.880342353125385,174,8.959281140280655,8.520193337614984,COMPLETE
42,42,0.4479166666666667,2023-04-04 02:10:13.856730,2023-04-04 02:10:16.482085,0 days 00:00:02.625355,0.16378243229059697,180,40,5.526814232917807,242,8.966722291871177,8.550143032152048,COMPLETE
