,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_gaussian_prior_mu,params_gaussian_prior_sigma,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.33169934640522875,2023-04-05 21:45:03.004009,2023-04-05 21:45:05.569375,0 days 00:00:02.565366,0.48417296102718027,297,462.6586870716682,232,50,7.984297003045393,0.5928512633801337,COMPLETE
1,1,0.36089798238135834,2023-04-05 21:45:05.569841,2023-04-05 21:45:08.351050,0 days 00:00:02.781209,0.4512991700892798,154,294.61818037085766,257,50,4.4498299422693925,4.251883110859028,COMPLETE
2,2,0.331486217675476,2023-04-05 21:45:08.351382,2023-04-05 21:45:10.739480,0 days 00:00:02.388098,0.6653785307286642,93,205.98383310152943,279,27,1.8855561313402425,4.494173227772698,COMPLETE
3,3,0.17064506962205173,2023-04-05 21:45:10.739793,2023-04-05 21:45:12.442389,0 days 00:00:01.702596,0.6850890717437242,67,197.2909589448732,185,24,7.762913979943283,9.548472542088819,COMPLETE
4,4,0.16091219096334186,2023-04-05 21:45:12.442721,2023-04-05 21:45:13.863889,0 days 00:00:01.421168,0.9328700692578186,287,432.9683551408214,207,30,4.053622482009558,4.392945367895751,COMPLETE
5,5,0.32672634271099743,2023-04-05 21:45:13.864218,2023-04-05 21:45:16.018549,0 days 00:00:02.154331,0.7668834488787665,82,451.80965549704564,292,37,9.269180512492062,5.32441265238202,COMPLETE
6,6,0.263356067064507,2023-04-05 21:45:16.018863,2023-04-05 21:45:18.191399,0 days 00:00:02.172536,0.7143395842383532,24,950.9183386324407,232,17,3.0671711044749532,6.652748321494361,COMPLETE
7,7,0.3169934640522876,2023-04-05 21:45:18.191721,2023-04-05 21:45:21.075118,0 days 00:00:02.883397,0.5048394081601825,112,523.9463707260214,261,29,8.463939077617663,9.317303060103775,COMPLETE
8,8,0.3852657004830918,2023-04-05 21:45:21.075454,2023-04-05 21:45:23.314799,0 days 00:00:02.239345,0.5418361723341912,64,531.4020682167408,226,39,4.354509730409097,2.87437563397641,COMPLETE
9,9,0.3170645069622052,2023-04-05 21:45:23.315114,2023-04-05 21:45:32.613031,0 days 00:00:09.297917,0.1504919330815704,165,594.9855256759291,276,11,2.3441127817294714,8.69012118626723,COMPLETE
10,10,0.4240551292980961,2023-04-05 21:45:32.613370,2023-04-05 21:45:37.728493,0 days 00:00:05.115123,0.18069160360905212,11,739.0110501197438,211,42,0.9926316166015781,1.597673176520356,COMPLETE
11,11,0.40473145780051145,2023-04-05 21:45:37.728957,2023-04-05 21:45:42.130678,0 days 00:00:04.401721,0.21247839253170872,13,743.901084261509,207,40,0.8119211512421295,1.5581142326455235,COMPLETE
12,12,0.46810173344700196,2023-04-05 21:45:42.131000,2023-04-05 21:45:57.889145,0 days 00:00:15.758145,0.04953210297503419,10,793.2813513803617,198,41,0.5789944217434932,1.1632601989574043,COMPLETE
13,13,0.5069622051719238,2023-04-05 21:45:57.889482,2023-04-05 21:46:27.538440,0 days 00:00:29.648958,0.024967172752710123,220,804.5884980895903,183,43,0.5539849748875787,2.0729058188427643,COMPLETE
14,14,0.00980392156862745,2023-04-05 21:46:27.538850,2023-04-05 21:47:02.311911,0 days 00:00:34.773061,0.022730274550638647,237,1.6987546150305661,186,45,0.7519728023403953,2.701103175465598,COMPLETE
15,15,0.5414180164819551,2023-04-05 21:47:02.312239,2023-04-05 21:48:09.618475,0 days 00:01:07.306236,0.014095733196866314,202,930.1974439530866,181,35,2.387109042799831,0.8856877031396184,COMPLETE
16,16,0.5115799943165672,2023-04-05 21:48:09.618877,2023-04-05 21:48:12.634136,0 days 00:00:03.015259,0.3091217420479645,215,990.9166095595658,180,34,2.6387726669242055,0.6348908515619509,COMPLETE
17,17,0.43868996874111965,2023-04-05 21:48:12.634675,2023-04-05 21:48:15.818852,0 days 00:00:03.184177,0.3144439870456306,210,970.8905544414619,196,34,6.050594450547225,1.0150471562111079,COMPLETE
18,18,0.38036373969877807,2023-04-05 21:48:15.819182,2023-04-05 21:48:19.336516,0 days 00:00:03.517334,0.31953091594662913,165,996.8474428869589,218,21,3.0405800836561645,0.562376008942969,COMPLETE
19,19,0.38050582551861317,2023-04-05 21:48:19.336841,2023-04-05 21:48:23.708573,0 days 00:00:04.371732,0.2875130890949532,261,879.595494545325,246,34,5.94375899718758,2.5219200103291772,COMPLETE
20,20,0.5166950838306337,2023-04-05 21:48:23.708900,2023-04-05 21:48:30.945566,0 days 00:00:07.236666,0.11080334692002952,199,887.7928579966132,180,33,2.024237967925547,3.337790060358796,COMPLETE
21,21,0.45843989769820975,2023-04-05 21:48:30.945900,2023-04-05 21:48:38.678668,0 days 00:00:07.732768,0.11276653064036314,188,884.8915147187722,193,32,1.9235624310782917,3.251071650042249,COMPLETE
22,22,0.5314009661835749,2023-04-05 21:48:38.679147,2023-04-05 21:48:46.529218,0 days 00:00:07.850071,0.11035961775880114,249,883.5437549359539,182,37,3.0480757827764684,1.7129370384324025,COMPLETE
23,23,0.46319977266268825,2023-04-05 21:48:46.529718,2023-04-05 21:48:55.712649,0 days 00:00:09.182931,0.10428686659062715,245,667.871769891699,199,36,3.378761359903055,1.9723897784327893,COMPLETE
24,24,0.46319977266268825,2023-04-05 21:48:55.713120,2023-04-05 21:49:04.877175,0 days 00:00:09.164055,0.09527726844818933,268,870.6114244903905,191,26,1.6970460895484407,3.309530547941348,COMPLETE
25,25,0.4585109406081273,2023-04-05 21:49:04.877501,2023-04-05 21:50:22.459888,0 days 00:01:17.582387,0.013966369242907034,192,886.8601380874383,220,47,1.5401904509377422,2.068650360897739,COMPLETE
