,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_parncutt_prior_mu,params_parncutt_prior_sigma,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.35599602159704463,2023-04-05 22:09:01.099132,2023-04-05 22:09:03.843109,0 days 00:00:02.743977,0.3791116900412592,200,43,49,2.7376253547577245,1.1917070101553178,7.279441440135212,COMPLETE
1,1,0.33169934640522875,2023-04-05 22:09:03.843566,2023-04-05 22:09:07.586178,0 days 00:00:03.742612,0.3740554995908508,255,33,97,5.459978708154915,9.908158034263128,6.643873284628691,COMPLETE
2,2,0.36594202898550726,2023-04-05 22:09:07.586498,2023-04-05 22:09:20.114928,0 days 00:00:12.528430,0.121774160989858,275,36,154,5.959689099567749,7.999561004592657,4.251057165395432,COMPLETE
3,3,0.32168229610684856,2023-04-05 22:09:20.115262,2023-04-05 22:10:08.942935,0 days 00:00:48.827673,0.027443022162550797,289,36,265,3.6442331936815715,0.6664076257838247,4.11230555159282,COMPLETE
4,4,0.0,2023-04-05 22:10:08.943370,2023-04-05 22:10:18.548136,0 days 00:00:09.604766,0.13489186107275905,242,32,267,0.010162202640574602,6.696704795098666,5.743300654631026,COMPLETE
5,5,0.2193805058255186,2023-04-05 22:10:18.548581,2023-04-05 22:10:20.720995,0 days 00:00:02.172414,0.7394827323157025,288,45,265,6.669979994080754,9.27596918472432,3.0340109497527408,COMPLETE
6,6,0.12198067632850242,2023-04-05 22:10:20.721322,2023-04-05 22:10:22.765957,0 days 00:00:02.044635,0.7969183302836633,264,45,260,3.100180235330281,5.536888817734388,7.480582899673687,COMPLETE
7,7,0.30711849957374254,2023-04-05 22:10:22.766277,2023-04-05 22:10:25.785437,0 days 00:00:03.019160,0.466737225906419,261,23,199,1.8751476611270288,5.5443519151325695,2.294710992908871,COMPLETE
8,8,0.40949133276499006,2023-04-05 22:10:25.785744,2023-04-05 22:10:33.757808,0 days 00:00:07.972064,0.16249894703129608,271,38,92,1.4857838738189437,3.7853698648440766,2.6228775141391996,COMPLETE
9,9,0.41943734015345263,2023-04-05 22:10:33.758126,2023-04-05 22:11:10.645784,0 days 00:00:36.887658,0.043874944461040837,276,33,17,2.593088291847419,8.315838341577837,8.6089631414692,COMPLETE
10,10,0.14187269110542766,2023-04-05 22:11:10.646101,2023-04-05 22:11:12.243399,0 days 00:00:01.597298,0.9824986260990569,207,10,11,7.616735957259967,8.6798259566639,9.691687948855773,COMPLETE
11,11,0.4192242114236999,2023-04-05 22:11:12.243726,2023-04-05 22:11:17.412843,0 days 00:00:05.169117,0.21929083863689885,227,22,84,1.3553232822066703,3.378157217381988,1.2826714515497477,COMPLETE
12,12,0.35088093208297816,2023-04-05 22:11:17.413177,2023-04-05 22:11:21.456532,0 days 00:00:04.043355,0.27648585326706326,223,24,11,4.540177795042499,3.451316313026719,0.7261683549816349,COMPLETE
13,13,0.5024154589371981,2023-04-05 22:11:21.456849,2023-04-05 22:13:53.263470,0 days 00:02:31.806621,0.011937870588420801,228,22,88,1.2481411222765035,7.499403731519765,0.559861298721585,COMPLETE
14,14,0.4486359761295822,2023-04-05 22:13:53.263787,2023-04-05 22:16:23.587650,0 days 00:02:30.323863,0.010002946326841844,181,15,140,0.1936394346499879,7.624228995976751,0.5749115510271761,COMPLETE
