,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_resonance_prior_beta,params_resonance_prior_bpm_ext,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.36601307189542487,2023-04-04 20:34:13.816997,2023-04-04 20:34:15.536623,0 days 00:00:01.719626,0.6635273729045317,193,26,5.062706543843779,197,4.129752233302137,3.178676036073671,COMPLETE
1,1,0.2779909065075305,2023-04-04 20:34:15.536926,2023-04-04 20:34:17.381724,0 days 00:00:01.844798,0.7061552790413723,223,28,6.854422891717975,173,7.262178693917201,4.220843097874479,COMPLETE
2,2,0.004901960784313725,2023-04-04 20:34:17.382034,2023-04-04 20:34:19.165039,0 days 00:00:01.783005,0.9818462948722548,261,25,1.9396791501104216,274,7.257112641862594,7.693950081019562,COMPLETE
3,3,0.024438761011651034,2023-04-04 20:34:19.165364,2023-04-04 20:34:22.180088,0 days 00:00:03.014724,0.49033148473956134,260,17,0.9516524025340575,272,7.935326765555762,4.940381004062118,COMPLETE
4,4,0.33667235009946,2023-04-04 20:34:22.180396,2023-04-04 20:34:24.776911,0 days 00:00:02.596515,0.5949195548144843,288,39,6.1563327481342505,106,2.61910824121402,5.2717612294605365,COMPLETE
5,5,0.3657289002557545,2023-04-04 20:34:24.777224,2023-04-04 20:34:28.103143,0 days 00:00:03.325919,0.48972446959665317,297,15,1.042433166875518,136,4.3593214998390195,4.584880857564307,COMPLETE
6,6,0.4732168229610685,2023-04-04 20:34:28.103460,2023-04-04 20:34:40.720229,0 days 00:00:12.616769,0.061774808990901195,186,40,5.598092856704234,202,1.3822875236201109,5.254853454643443,COMPLETE
7,7,0.16552998010798523,2023-04-04 20:34:40.720551,2023-04-04 20:34:42.634929,0 days 00:00:01.914378,0.9516437254884701,288,11,4.3803450828778185,223,6.673388115589827,1.8613910153058573,COMPLETE
8,8,0.47314578005115093,2023-04-04 20:34:42.635240,2023-04-04 20:36:14.883024,0 days 00:01:32.247784,0.014233718907051222,234,35,3.0825366757775803,137,3.487757233387072,8.76377539228615,COMPLETE
9,9,0.4489911906791702,2023-04-04 20:36:14.883351,2023-04-04 20:36:28.558347,0 days 00:00:13.674996,0.10146862082174699,239,24,7.895695258698008,123,9.220991792688173,7.351422826320624,COMPLETE
10,10,0.0,2023-04-04 20:36:28.558695,2023-04-04 20:36:32.153647,0 days 00:00:03.594952,0.21413637420007975,181,49,3.4323000248690536,11,0.5564628007722219,9.90196124553254,COMPLETE
11,11,0.5072463768115942,2023-04-04 20:36:32.153967,2023-04-04 20:37:43.222555,0 days 00:01:11.068588,0.014892511340295372,205,38,2.8984021945778413,72,2.006585858709619,6.594723082120417,COMPLETE
12,12,0.0,2023-04-04 20:37:43.222873,2023-04-04 20:37:47.177918,0 days 00:00:03.955045,0.23271117802201252,207,44,5.086411872882341,49,1.5287751376530234,6.405682550496569,COMPLETE
13,13,0.34107701051435063,2023-04-04 20:37:47.178387,2023-04-04 20:37:52.074587,0 days 00:00:04.896200,0.19338538480145942,210,36,2.599902479382869,73,2.2390861842784795,6.150878086207965,COMPLETE
14,14,0.0880221653878943,2023-04-04 20:37:52.074961,2023-04-04 20:38:24.619063,0 days 00:00:32.544102,0.02352448404363606,181,43,0.037231812362679584,223,0.7261604104285537,6.347336388310206,COMPLETE
15,15,0.42384200056834326,2023-04-04 20:38:24.619606,2023-04-04 20:38:27.896439,0 days 00:00:03.276833,0.31844461861869033,208,33,3.935807709091848,77,2.6210140936524953,3.3695469801195754,COMPLETE
16,16,0.43918726911054273,2023-04-04 20:38:27.896895,2023-04-04 20:38:30.512716,0 days 00:00:02.615821,0.34440100601137025,194,49,4.50310376231294,171,4.9296075337414464,1.8385872092033346,COMPLETE
17,17,0.0,2023-04-04 20:38:30.513036,2023-04-04 20:38:38.931572,0 days 00:00:08.418536,0.10944403821780568,221,42,5.670517799237624,12,1.5652657628399393,1.027106002672939,COMPLETE
18,18,0.39514066496163686,2023-04-04 20:38:38.931901,2023-04-04 20:39:12.694791,0 days 00:00:33.762890,0.029896488385486718,192,32,3.8730112926537674,225,3.443162206582704,5.683304395038335,COMPLETE
19,19,0.4629156010230178,2023-04-04 20:39:12.695113,2023-04-04 20:39:21.249085,0 days 00:00:08.553972,0.15105187273118356,255,39,2.670556920518624,82,5.599726858190922,6.824149898269706,COMPLETE
20,20,0.15139244103438476,2023-04-04 20:39:21.249423,2023-04-04 20:39:25.241313,0 days 00:00:03.991890,0.2833175976090152,222,21,6.271022455603942,299,1.5797610734646765,7.6784674536984765,COMPLETE
21,21,0.44387610116510373,2023-04-04 20:39:25.241646,2023-04-04 20:40:28.222855,0 days 00:01:02.981209,0.020585177652759662,237,34,3.203884305230059,151,3.196532706382653,8.769634732456494,COMPLETE
22,22,0.3657289002557545,2023-04-04 20:40:28.223190,2023-04-04 20:40:35.789538,0 days 00:00:07.566348,0.12275379603937292,198,38,3.125508830109911,196,3.569844296635004,8.504168530695221,COMPLETE
23,23,0.48763853367433935,2023-04-04 20:40:35.789864,2023-04-04 20:41:30.656829,0 days 00:00:54.866965,0.02328200407336517,234,30,2.25245790275949,112,2.2262471473700467,5.703711364762387,COMPLETE
24,24,0.004830917874396135,2023-04-04 20:41:30.657181,2023-04-04 20:41:40.662131,0 days 00:00:10.004950,0.1190032640115263,252,30,2.140620441126701,51,2.148428518142918,5.689965453101313,COMPLETE
25,25,0.43400113668655865,2023-04-04 20:41:40.662602,2023-04-04 20:41:44.188950,0 days 00:00:03.526348,0.37771651800966266,274,46,3.862167617538963,111,0.9957236305011408,5.436226872337235,COMPLETE
26,26,0.5510798522307474,2023-04-04 20:41:44.189282,2023-04-04 20:41:49.368083,0 days 00:00:05.178801,0.19016183941114798,215,30,1.8880084749335415,96,1.862650297676303,4.239383083619215,COMPLETE
27,27,0.5413469735720374,2023-04-04 20:41:49.368412,2023-04-04 20:41:55.309790,0 days 00:00:05.941378,0.17791980403553068,228,30,1.9352168098153832,95,2.6839571979528536,4.199673710315967,COMPLETE
28,28,0.004901960784313725,2023-04-04 20:41:55.310117,2023-04-04 20:42:00.766917,0 days 00:00:05.456800,0.19229678076195816,214,21,1.585539528651177,44,2.9794877454627557,3.472228127129438,COMPLETE
29,29,0.5411338448422848,2023-04-04 20:42:00.767276,2023-04-04 20:42:04.591009,0 days 00:00:03.823733,0.26044204816946515,199,27,1.4618151485537048,90,4.107717530320491,4.216816950816194,COMPLETE
30,30,0.5265700483091788,2023-04-04 20:42:04.591339,2023-04-04 20:42:08.955274,0 days 00:00:04.363935,0.2645490873257742,226,28,1.4978934904484829,93,4.319993084100137,4.198375383671307,COMPLETE
31,31,0.5412048877522023,2023-04-04 20:42:08.955611,2023-04-04 20:42:13.258300,0 days 00:00:04.302689,0.26401523630741375,228,27,1.457275452656213,98,4.089845852902404,4.084635257734158,COMPLETE
32,32,0.3653736857061665,2023-04-04 20:42:13.258639,2023-04-04 20:42:16.450675,0 days 00:00:03.192036,0.4013910097728114,247,27,0.7040765388717083,91,4.069772067381026,3.9714965946555147,COMPLETE
33,33,0.06358340437624325,2023-04-04 20:42:16.451003,2023-04-04 20:42:20.586963,0 days 00:00:04.135960,0.2776882262744637,226,22,1.6631423357450363,57,3.9292087334445984,4.580495287437424,COMPLETE
34,34,0.0,2023-04-04 20:42:20.587293,2023-04-04 20:42:26.382789,0 days 00:00:05.795496,0.17812463640601287,216,25,2.1659629714541664,36,2.7918811562145573,2.8865307458032703,COMPLETE
35,35,0.5414180164819551,2023-04-04 20:42:26.383129,2023-04-04 20:42:30.645920,0 days 00:00:04.262791,0.2525512029510502,199,18,1.0813812060259964,100,5.0411216469797155,3.6967275514860405,COMPLETE
36,36,0.4436629724353509,2023-04-04 20:42:30.646248,2023-04-04 20:42:33.650757,0 days 00:00:03.004509,0.4263996258612278,231,17,0.7358120560776192,129,4.93004204783009,4.73703371271606,COMPLETE
37,37,0.38057686842853083,2023-04-04 20:42:33.651096,2023-04-04 20:42:37.361460,0 days 00:00:03.710364,0.32417842221309445,215,10,1.147025373909092,155,5.313462006466232,3.6919591866659465,COMPLETE
38,38,0.47797669792554703,2023-04-04 20:42:37.361783,2023-04-04 20:42:46.089916,0 days 00:00:08.728133,0.15402794128412584,243,19,1.9082257272431926,110,5.921392945488909,3.167904425627544,COMPLETE
39,39,0.0683432793407218,2023-04-04 20:42:46.090251,2023-04-04 20:42:50.090300,0 days 00:00:04.000049,0.24061529236963336,202,31,0.3325458053114958,63,3.010525214902672,4.94163500993838,COMPLETE
40,40,0.004901960784313725,2023-04-04 20:42:50.090680,2023-04-04 20:42:53.351158,0 days 00:00:03.260478,0.4470268126496124,266,13,0.9765746558919007,28,4.663501989938384,2.6758927876742975,COMPLETE
41,41,0.5656436487638534,2023-04-04 20:42:53.351503,2023-04-04 20:42:57.406309,0 days 00:00:04.054806,0.2325484179869546,189,24,1.1979045543901117,100,3.818848751451803,4.080122817462165,COMPLETE
42,42,0.551150895140665,2023-04-04 20:42:57.406672,2023-04-04 20:43:02.132316,0 days 00:00:04.725644,0.2021319162542256,191,23,1.3601813560112768,98,3.613102734867026,3.7838163429608955,COMPLETE
43,43,0.47328786587098604,2023-04-04 20:43:02.132646,2023-04-04 20:43:14.779337,0 days 00:00:12.646691,0.0791922198862403,189,23,0.5726847528223369,142,3.6305565260256225,3.7706599736671302,COMPLETE
44,44,0.5365160556976413,2023-04-04 20:43:14.779667,2023-04-04 20:43:19.392298,0 days 00:00:04.612631,0.20213727811240453,187,18,1.2040629054777703,127,2.6208962956900113,4.50201393740201,COMPLETE
45,45,0.5413469735720374,2023-04-04 20:43:19.392627,2023-04-04 20:43:25.736884,0 days 00:00:06.344257,0.1607862184158194,196,14,1.7942421911280884,117,3.3067474692400247,5.079915862820279,COMPLETE
46,46,0.5218812162546178,2023-04-04 20:43:25.737222,2023-04-04 20:43:30.353664,0 days 00:00:04.616442,0.22323836876459333,203,20,2.3876368438775586,99,3.763287999354333,4.361252293910038,COMPLETE
47,47,0.3072605853935777,2023-04-04 20:43:30.353992,2023-04-04 20:43:39.735900,0 days 00:00:09.381908,0.10043406822609562,180,24,1.1578692263457069,62,4.43821760629999,3.807543305994966,COMPLETE
48,48,0.37560386473429946,2023-04-04 20:43:39.736229,2023-04-04 20:43:43.139696,0 days 00:00:03.403467,0.3028522106621011,187,16,1.908074443005563,179,3.152913065402218,4.785540347281705,COMPLETE
49,49,0.15601023017902813,2023-04-04 20:43:43.140160,2023-04-04 20:43:46.265984,0 days 00:00:03.125824,0.35448943821055723,213,26,0.06398411864034892,79,2.4154021336046307,2.7671263765921967,COMPLETE
50,50,0.49254049445865306,2023-04-04 20:43:46.266315,2023-04-04 20:44:01.497825,0 days 00:00:15.231510,0.06627462133276793,208,29,0.5258420511078253,123,2.05541175815248,3.1961253410416752,COMPLETE
51,51,0.546106848536516,2023-04-04 20:44:01.498186,2023-04-04 20:44:08.234095,0 days 00:00:06.735909,0.154021018618618,196,14,1.959212751489529,116,3.3503789316890495,5.055000130993601,COMPLETE
52,52,0.5609548167092924,2023-04-04 20:44:08.234429,2023-04-04 20:44:12.684559,0 days 00:00:04.450130,0.22561884308014646,191,12,2.7168071462905794,107,3.720842250394429,5.152576236651855,COMPLETE
53,53,0.5171923842000569,2023-04-04 20:44:12.684890,2023-04-04 20:44:17.099624,0 days 00:00:04.414734,0.22857738783410095,191,12,2.580232653812719,134,3.735551871260627,4.976557220965457,COMPLETE
54,54,0.5949843705598181,2023-04-04 20:44:17.099958,2023-04-04 20:44:24.351101,0 days 00:00:07.251143,0.14069585481554794,185,14,1.278244247977304,105,4.788821536600647,5.2602797738056335,COMPLETE
55,55,0.48294970161977835,2023-04-04 20:44:24.351427,2023-04-04 20:44:31.457714,0 days 00:00:07.106287,0.140324137660407,183,14,2.825135749491316,164,4.3807625585556735,5.301758441006283,COMPLETE
56,56,0.5656436487638533,2023-04-04 20:44:31.458049,2023-04-04 20:44:46.058910,0 days 00:00:14.600861,0.07440451370634649,193,11,2.170026196127934,83,3.4541669280695197,4.746168934643903,COMPLETE
57,57,0.5119352088661552,2023-04-04 20:44:46.059255,2023-04-04 20:44:58.389439,0 days 00:00:12.330184,0.08847427179881703,192,11,2.480893248056521,69,4.538210465894208,4.501791916950185,COMPLETE
58,58,0.585109406081273,2023-04-04 20:44:58.389767,2023-04-04 20:45:16.154695,0 days 00:00:17.764928,0.06024675023502877,186,10,2.3628503251158834,83,3.822652609826777,4.660341047198254,COMPLETE
59,59,0.5996732026143791,2023-04-04 20:45:16.155023,2023-04-04 20:45:35.815457,0 days 00:00:19.660434,0.0551903388477428,184,10,2.964067989403378,85,3.88181852146966,5.568250734329668,COMPLETE
60,60,0.5753765274225632,2023-04-04 20:45:35.815948,2023-04-04 20:45:53.555997,0 days 00:00:17.740049,0.06239830105928933,185,10,3.467052759148476,80,4.733764421508208,5.985168443048405,COMPLETE
61,61,0.5851804489911906,2023-04-04 20:45:53.556466,2023-04-04 20:46:11.983513,0 days 00:00:18.427047,0.05962773283206092,184,10,2.87127922424435,81,4.642691763998031,5.966986177674268,COMPLETE
62,62,0.604717249218528,2023-04-04 20:46:11.983857,2023-04-04 20:46:32.454939,0 days 00:00:20.471082,0.054474861314974476,184,10,3.3693801982413754,82,4.783897207419468,6.043761500546565,COMPLETE
63,63,0.5657857345836885,2023-04-04 20:46:32.455271,2023-04-04 20:46:53.192542,0 days 00:00:20.737271,0.05332357599450374,183,10,3.377395070691006,72,4.747132722628429,6.020071839990278,COMPLETE
64,64,0.5706876953680022,2023-04-04 20:46:53.192872,2023-04-04 20:47:15.767531,0 days 00:00:22.574659,0.048569156454764124,184,12,3.404603977550558,74,4.6510223471079435,6.022415474954483,COMPLETE
