,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.31692242114237,2023-04-05 21:17:54.524834,2023-04-05 21:18:01.592958,0 days 00:00:07.068124,0.22101984289670779,283,11,5.441664769443012,4.777560303707502,COMPLETE
1,1,0.22421142369991476,2023-04-05 21:18:01.593243,2023-04-05 21:18:03.722008,0 days 00:00:02.128765,0.7031223060692408,264,33,5.515807415520823,5.44216730000855,COMPLETE
2,2,0.2143364592213697,2023-04-05 21:18:03.722300,2023-04-05 21:18:05.386186,0 days 00:00:01.663886,0.9646813958968772,262,33,2.4568865063532837,1.0905770662404446,COMPLETE
3,3,0.39009661835748793,2023-04-05 21:18:05.386481,2023-04-05 21:18:08.056572,0 days 00:00:02.670091,0.4779825957387575,219,23,8.763943165538443,2.1741040414781168,COMPLETE
4,4,0.33169934640522875,2023-04-05 21:18:08.056874,2023-04-05 21:18:11.901471,0 days 00:00:03.844597,0.30762158818793195,233,28,1.0731047068629271,2.7140395113201006,COMPLETE
5,5,0.31727763569195794,2023-04-05 21:18:11.901763,2023-04-05 21:18:13.784487,0 days 00:00:01.882724,0.6635490593562671,226,38,3.3665923372847004,1.069059181417233,COMPLETE
6,6,0.4585819835180449,2023-04-05 21:18:13.784783,2023-04-05 21:18:19.131068,0 days 00:00:05.346285,0.2404639714121579,227,27,9.849593108420647,2.9961724964426644,COMPLETE
7,7,0.39023870417732315,2023-04-05 21:18:19.131352,2023-04-05 21:18:21.865610,0 days 00:00:02.734258,0.41563666972129226,202,17,2.307614608309276,5.54015082931367,COMPLETE
8,8,0.3024296675191816,2023-04-05 21:18:21.865903,2023-04-05 21:18:23.880389,0 days 00:00:02.014486,0.6472198509670382,211,18,9.759187722460716,5.203640669554003,COMPLETE
9,9,0.39982949701619774,2023-04-05 21:18:23.880678,2023-04-05 21:18:33.731768,0 days 00:00:09.851090,0.1141007809200267,232,10,1.2583314879996172,2.802065220608069,COMPLETE
10,10,0.5120062517760727,2023-04-05 21:18:33.732068,2023-04-05 21:19:21.147118,0 days 00:00:47.415050,0.024867447585763258,189,45,7.957305960999083,6.804690466987772,COMPLETE
11,11,0.5362318840579711,2023-04-05 21:19:21.147402,2023-04-05 21:19:27.053446,0 days 00:00:05.906044,0.1459853829033728,184,50,8.075891607203058,8.350685856055184,COMPLETE
12,12,0.5461778914464337,2023-04-05 21:19:27.053743,2023-04-05 21:19:55.371557,0 days 00:00:28.317814,0.03199121474963973,183,48,7.5575337880067375,8.726236117598484,COMPLETE
13,13,0.5363029269678886,2023-04-05 21:19:55.371845,2023-04-05 21:20:33.383478,0 days 00:00:38.011633,0.028815758461194857,186,50,7.345056825675572,9.932621421969097,COMPLETE
14,14,0.5072463768115942,2023-04-05 21:20:33.383771,2023-04-05 21:22:09.803454,0 days 00:01:36.419683,0.013911041111380456,200,43,6.742385860246538,9.891771006012423,COMPLETE
15,15,0.546106848536516,2023-04-05 21:22:09.803757,2023-04-05 21:22:17.474281,0 days 00:00:07.670524,0.11012956800511327,181,50,6.795137542652898,9.954864353805032,COMPLETE
16,16,0.3170645069622052,2023-04-05 21:22:17.474769,2023-04-05 21:22:21.147750,0 days 00:00:03.672981,0.33921691109136204,251,40,6.208689046017374,8.542896005955514,COMPLETE
17,17,0.46341290139244107,2023-04-05 21:22:21.148054,2023-04-05 21:22:27.611781,0 days 00:00:06.463727,0.14554494625324046,201,46,4.7594153778303365,8.622912083095189,COMPLETE
18,18,0.5168371696504689,2023-04-05 21:22:27.612089,2023-04-05 21:22:31.734114,0 days 00:00:04.122025,0.22245991452210842,180,38,6.853732911556401,7.56895146585284,COMPLETE
19,19,0.32679738562091504,2023-04-05 21:22:31.734426,2023-04-05 21:22:49.045964,0 days 00:00:17.311538,0.09105248657172438,294,47,8.270171079425435,9.30719170754018,COMPLETE
