,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_gaussian_prior_mu,params_gaussian_prior_sigma,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.13178459789712985,2023-04-04 17:34:48.093895,2023-04-04 17:34:49.846730,0 days 00:00:01.752835,0.9021245622662193,31,329.8757913172109,261,39,2.2100706190843153,9.319711882078222,COMPLETE
1,1,0.20978971298664395,2023-04-04 17:34:49.847172,2023-04-04 17:34:51.962745,0 days 00:00:02.115573,0.6432610591586955,257,995.8022974784529,224,16,4.213097579254397,8.283762269730126,COMPLETE
2,2,0.3900255754475703,2023-04-04 17:34:51.963056,2023-04-04 17:34:53.318670,0 days 00:00:01.355614,0.8453786772091395,93,347.55043701950586,188,41,6.768610821186591,1.2683166204540064,COMPLETE
3,3,0.0,2023-04-04 17:34:53.318971,2023-04-04 17:34:55.712998,0 days 00:00:02.394027,0.6371441596160231,263,16.163313152323926,260,21,8.08921155218213,8.469380200440781,COMPLETE
4,4,0.5315430520034101,2023-04-04 17:34:55.713324,2023-04-04 17:35:09.906226,0 days 00:00:14.192902,0.07851979081967377,142,157.04329224314847,204,20,4.154329636931617,2.8381784653091673,COMPLETE
5,5,0.00973287865870986,2023-04-04 17:35:09.906568,2023-04-04 17:35:13.827696,0 days 00:00:03.921128,0.3053324074894791,230,109.8486614170983,259,49,0.5898426239445755,4.485046058268287,COMPLETE
6,6,0.43400113668655865,2023-04-04 17:35:13.828025,2023-04-04 17:35:21.925274,0 days 00:00:08.097249,0.12256435692818404,147,56.200862278974725,190,31,5.427519517212381,1.2849702036394115,COMPLETE
7,7,0.40480250071042906,2023-04-04 17:35:21.925590,2023-04-04 17:35:49.709450,0 days 00:00:27.783860,0.053363043431027296,257,879.2258417232501,254,24,6.858652813225145,2.926183297116958,COMPLETE
8,8,0.29774083546462066,2023-04-04 17:35:49.709899,2023-04-04 17:35:52.526415,0 days 00:00:02.816516,0.3882485811009175,290,778.4774927863818,207,30,6.0710758413002655,9.430885158922182,COMPLETE
9,9,0.13178459789712985,2023-04-04 17:35:52.526880,2023-04-04 17:35:54.632373,0 days 00:00:02.105493,0.6573399751941457,284,611.2249251034749,239,30,2.542217232693876,6.80488656416387,COMPLETE
10,10,0.4048735436203467,2023-04-04 17:35:54.632693,2023-04-04 17:38:53.932365,0 days 00:02:59.299672,0.013939811126134488,177,262.6697468062899,289,10,9.191481235442836,4.6650210826595595,COMPLETE
11,11,0.05853935777209435,2023-04-04 17:38:53.932708,2023-04-04 17:38:59.245204,0 days 00:00:05.312496,0.18282731443409875,144,6.057731763098843,181,23,4.890624024711745,0.6085527194072093,COMPLETE
12,12,0.5267831770389315,2023-04-04 17:38:59.245645,2023-04-04 17:39:04.277637,0 days 00:00:05.031992,0.19982225443823814,135,181.04438890006008,208,35,4.433732589578799,2.5588485287340217,COMPLETE
13,13,0.5754475703324808,2023-04-04 17:39:04.277975,2023-04-04 17:39:08.650563,0 days 00:00:04.372588,0.23448127962595916,93,221.42686870167404,213,36,4.042457759553861,2.7453288642904936,COMPLETE
14,14,0.49744245524296676,2023-04-04 17:39:08.650900,2023-04-04 17:39:11.884913,0 days 00:00:03.234013,0.3116523713977394,79,396.967124853202,213,46,3.735531281608585,3.5141669626896945,COMPLETE
15,15,0.37070190394998576,2023-04-04 17:39:11.885245,2023-04-04 17:41:36.966846,0 days 00:02:25.081601,0.012229848832993967,194,214.6479896707575,229,17,3.243484987122502,5.409390930270835,COMPLETE
16,16,0.5412048877522023,2023-04-04 17:41:36.967171,2023-04-04 17:41:42.230621,0 days 00:00:05.263450,0.20510690634797485,93,473.8067564881825,198,27,5.206165772832076,2.525029430753351,COMPLETE
17,17,0.48273657289002553,2023-04-04 17:41:42.231084,2023-04-04 17:41:44.431139,0 days 00:00:02.200055,0.4657437221173576,36,495.40576830815854,197,36,5.57201532234551,2.021563213940055,COMPLETE
18,18,0.48273657289002553,2023-04-04 17:41:44.431462,2023-04-04 17:41:49.753394,0 days 00:00:05.321932,0.22763693154190445,91,530.4363394789973,227,27,6.58764447959841,3.6629393465437596,COMPLETE
19,19,0.5557686842853083,2023-04-04 17:41:49.753711,2023-04-04 17:41:56.277247,0 days 00:00:06.523536,0.16310348137378466,59,277.3765956847723,218,42,5.352024969135892,2.1019430440258158,COMPLETE
20,20,0.5411338448422848,2023-04-04 17:41:56.277575,2023-04-04 17:42:00.250053,0 days 00:00:03.972478,0.3114062090247821,55,254.927907685572,243,44,8.01476422021148,1.6021800578604402,COMPLETE
