,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_parncutt_prior_mu,params_parncutt_prior_sigma,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.4875674907644217,2023-04-04 18:04:19.386832,2023-04-04 18:04:23.388390,0 days 00:00:04.001558,0.32576201016133116,228,23,64,1.2723804809289054,9.947619666664782,5.260011916878063,COMPLETE
1,1,0.33169934640522875,2023-04-04 18:04:23.388705,2023-04-04 18:04:27.014262,0 days 00:00:03.625557,0.34074958215311746,256,41,264,7.839398104849724,4.770056548664604,9.617390403977854,COMPLETE
2,2,0.41439329354930377,2023-04-04 18:04:27.014584,2023-04-04 18:04:29.189292,0 days 00:00:02.174708,0.5432317087533243,214,30,84,7.987431291800118,6.98827408039442,2.6644265464831647,COMPLETE
3,3,0.4486359761295822,2023-04-04 18:04:29.189600,2023-04-04 18:04:32.519313,0 days 00:00:03.329713,0.28658631675184315,204,45,148,5.091170809598898,5.143589101394613,8.098804443396403,COMPLETE
4,4,0.3462631429383347,2023-04-04 18:04:32.519629,2023-04-04 18:04:37.828968,0 days 00:00:05.309339,0.2519582564323847,258,21,202,2.017211648327874,4.8054141385143,6.738317951818741,COMPLETE
5,5,0.23394430235862462,2023-04-04 18:04:37.829297,2023-04-04 18:04:39.419306,0 days 00:00:01.590009,0.7962146899066019,223,46,194,7.92229917612856,3.1376242294235306,5.10827275707906,COMPLETE
6,6,0.2975277067348679,2023-04-04 18:04:39.419624,2023-04-04 18:04:41.734539,0 days 00:00:02.314915,0.6884472464185547,285,27,188,5.768100417714259,4.845937403168529,1.7789000819882081,COMPLETE
7,7,0.3804347826086956,2023-04-04 18:04:41.734858,2023-04-04 18:04:43.338054,0 days 00:00:01.603196,0.799215925741985,222,40,148,0.23574707635152817,8.963933722517375,0.9378564240478762,COMPLETE
8,8,0.5023444160272804,2023-04-04 18:04:43.338372,2023-04-04 18:05:16.454637,0 days 00:00:33.116265,0.03185159978600161,190,32,204,1.669611976530763,7.446198629231209,9.094776883032194,COMPLETE
9,9,0.37070190394998576,2023-04-04 18:05:16.454951,2023-04-04 18:05:25.246365,0 days 00:00:08.791414,0.1528419341735048,251,13,245,2.3696563028970328,3.767801487833464,8.40792575034584,COMPLETE
