,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_resonance_prior_beta,params_resonance_prior_bpm_ext,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.0,2023-04-04 18:32:45.457001,2023-04-04 18:32:47.544398,0 days 00:00:02.087397,0.6178075059791293,233,48,2.8778566045497977,31,1.639410670321701,9.483757498635326,COMPLETE
1,1,0.37546177891446436,2023-04-04 18:32:47.544710,2023-04-04 18:32:51.057632,0 days 00:00:03.512922,0.4322757970631335,261,12,5.054959729230587,110,0.6988947313104718,6.780265316686659,COMPLETE
2,2,0.258667235009946,2023-04-04 18:32:51.057950,2023-04-04 18:32:53.090699,0 days 00:00:02.032749,0.5982337322701736,212,29,2.0234677154762695,168,2.216458276429985,5.106436561860643,COMPLETE
3,3,0.0,2023-04-04 18:32:53.091011,2023-04-04 18:32:55.401350,0 days 00:00:02.310339,0.7040443150976385,273,29,3.534441444790427,52,6.402340329682571,8.169512097670788,COMPLETE
4,4,0.029269678886047173,2023-04-04 18:32:55.401669,2023-04-04 18:32:57.329329,0 days 00:00:01.927660,0.866452685900574,286,40,0.9624855013232839,194,6.700932349096919,8.901929977104635,COMPLETE
5,5,0.09271099744245524,2023-04-04 18:32:57.329639,2023-04-04 18:32:58.937100,0 days 00:00:01.607461,0.7743872040529062,197,36,1.638502667445048,232,8.261661324785564,8.022920788645077,COMPLETE
6,6,0.13654447286160842,2023-04-04 18:32:58.937428,2023-04-04 18:33:00.697224,0 days 00:00:01.759796,0.841230440166454,246,34,6.9923117847593375,176,1.2434602338617007,6.60985794622688,COMPLETE
7,7,0.08283603296391022,2023-04-04 18:33:00.697537,2023-04-04 18:33:02.375980,0 days 00:00:01.678443,0.6035457857199572,187,45,7.6578872865477265,69,7.953163479686307,7.648261054580874,COMPLETE
8,8,0.04880647911338448,2023-04-04 18:33:02.376297,2023-04-04 18:33:04.957867,0 days 00:00:02.581570,0.5757023265333157,275,39,1.862112781911468,283,7.901801886240188,3.2117605809853567,COMPLETE
9,9,0.4681727763569195,2023-04-04 18:33:04.958180,2023-04-04 18:33:23.776193,0 days 00:00:18.818013,0.08048448660118436,276,39,7.174678765707975,97,8.221885458252046,5.719537969111242,COMPLETE
10,10,0.41446433645922137,2023-04-04 18:33:23.776504,2023-04-04 18:36:44.479741,0 days 00:03:20.703237,0.01246385883186818,297,19,5.923276263502936,121,9.071868109687767,0.9701430241453508,COMPLETE
11,11,0.4144643364592213,2023-04-04 18:36:44.480065,2023-04-04 18:38:19.210264,0 days 00:01:34.730199,0.024580483506266425,299,19,5.919287529678818,110,9.695656846806399,0.9996695407603102,COMPLETE
12,12,0.4388320545609548,2023-04-04 18:38:19.211043,2023-04-04 18:42:35.750808,0 days 00:04:16.539765,0.010322154106340067,297,23,5.911978150804212,113,9.91924925178263,0.5410657486756258,COMPLETE
13,13,0.0,2023-04-04 18:42:35.751277,2023-04-04 18:42:43.885271,0 days 00:00:08.133994,0.1800142287285026,251,24,7.916329226666175,10,9.774158650615167,4.214588048601948,COMPLETE
14,14,0.41439329354930377,2023-04-04 18:42:43.885741,2023-04-04 18:42:51.457387,0 days 00:00:07.571646,0.22494061533453766,277,10,4.570553488843563,83,9.970900233150672,2.7011447288903714,COMPLETE
15,15,0.19501278772378516,2023-04-04 18:42:51.457734,2023-04-04 18:42:53.136021,0 days 00:00:01.678287,0.9832118012513587,230,24,6.552146437930134,139,5.141486582721375,5.586937615258686,COMPLETE
16,16,0.3025717533390168,2023-04-04 18:42:53.136365,2023-04-04 18:43:01.434597,0 days 00:00:08.298232,0.17018568940658835,263,44,5.113682611732814,205,9.112172596753263,2.4057851456581223,COMPLETE
17,17,0.43868996874111965,2023-04-04 18:43:01.434946,2023-04-04 18:43:05.894370,0 days 00:00:04.459424,0.36170572800514433,287,33,6.725305742620989,87,8.60453949976787,4.03012386292919,COMPLETE
18,18,0.38519465757317417,2023-04-04 18:43:05.894738,2023-04-04 18:43:20.027159,0 days 00:00:14.132421,0.11802204510659484,288,18,5.847249667878435,136,6.915835442205226,1.7373791392817646,COMPLETE
19,19,0.34597897129866445,2023-04-04 18:43:20.027491,2023-04-04 18:43:24.694556,0 days 00:00:04.667065,0.296672726370585,264,26,3.96150749621451,57,5.025963953092974,0.5228942946748021,COMPLETE
20,20,0.39045183290707586,2023-04-04 18:43:24.694882,2023-04-04 18:43:36.430635,0 days 00:00:11.735753,0.11055008406381207,219,15,7.396106389204569,243,7.549084654175216,3.6776809096214595,COMPLETE
21,21,0.4339300937766411,2023-04-04 18:43:36.430970,2023-04-04 18:43:41.180959,0 days 00:00:04.749989,0.32441030271965465,286,33,6.758711382912932,87,8.776683376903353,4.44721070207523,COMPLETE
22,22,0.424410343847684,2023-04-04 18:43:41.181293,2023-04-04 18:43:45.064895,0 days 00:00:03.883602,0.41380948342148305,300,38,7.983141952751564,94,8.790957883016876,1.9645533572170617,COMPLETE
23,23,0.3609690252912759,2023-04-04 18:43:45.065209,2023-04-04 18:44:04.034462,0 days 00:00:18.969253,0.08654879774140267,287,31,6.4524731602338825,149,8.696460140788899,3.610348987047913,COMPLETE
