,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.27799090650753056,2023-04-05 19:45:41.454466,2023-04-05 19:45:45.247393,0 days 00:00:03.792927,0.4960916830909076,292,34,9.432875189009547,4.785192289637109,COMPLETE
1,1,0.49751349815288437,2023-04-05 19:45:45.247834,2023-04-05 19:47:01.338352,0 days 00:01:16.090518,0.018629623471057156,200,25,5.7753967970487325,7.893910483329938,COMPLETE
2,2,0.3952117078715544,2023-04-05 19:47:01.338720,2023-04-05 19:47:05.300817,0 days 00:00:03.962097,0.361516068559563,254,10,1.1588808465313065,1.015489918537565,COMPLETE
3,3,0.40480250071042906,2023-04-05 19:47:05.301125,2023-04-05 19:47:07.056343,0 days 00:00:01.755218,0.7744334769331382,205,28,6.188047107618978,3.0239661888271723,COMPLETE
4,4,0.3364592213697073,2023-04-05 19:47:07.056644,2023-04-05 19:47:10.847753,0 days 00:00:03.791109,0.3778514751852917,271,33,3.428630785044497,2.4293708941474557,COMPLETE
5,5,0.1316425120772947,2023-04-05 19:47:10.848071,2023-04-05 19:47:13.146259,0 days 00:00:02.298188,0.8107730726622764,300,36,3.227175803044314,7.846176877910059,COMPLETE
6,6,0.1707871554418869,2023-04-05 19:47:13.146561,2023-04-05 19:47:15.290229,0 days 00:00:02.143668,0.8019191707876164,283,41,4.645510299157336,5.605942622996905,COMPLETE
7,7,0.1412333049161694,2023-04-05 19:47:15.290534,2023-04-05 19:47:17.139092,0 days 00:00:01.848558,0.9980450884629717,286,12,9.289245092235191,4.921080067049421,COMPLETE
8,8,0.24879227053140096,2023-04-05 19:47:17.139383,2023-04-05 19:47:18.673180,0 days 00:00:01.533797,0.9377801693077036,209,13,5.126155459279283,6.608175199682829,COMPLETE
9,9,0.2728047740835465,2023-04-05 19:47:18.673474,2023-04-05 19:47:21.548069,0 days 00:00:02.874595,0.5372321448695297,298,45,7.168221511574094,3.88193212441843,COMPLETE
10,10,0.5706166524580847,2023-04-05 19:47:21.548377,2023-04-05 19:47:37.184920,0 days 00:00:15.636543,0.0662154606462553,182,23,7.529922688803244,9.45583163868121,COMPLETE
11,11,0.5316140949133277,2023-04-05 19:47:37.185212,2023-04-05 19:48:49.528421,0 days 00:01:12.343209,0.018070190114011928,180,24,7.0948657332729645,9.832052416061378,COMPLETE
12,12,0.5414180164819551,2023-04-05 19:48:49.528706,2023-04-05 19:50:02.908457,0 days 00:01:13.379751,0.018452464416513763,180,19,7.788398924271038,9.12501733177252,COMPLETE
13,13,0.5166950838306337,2023-04-05 19:50:02.908870,2023-04-05 19:50:10.194463,0 days 00:00:07.285593,0.14317579572514041,183,20,8.113446225379706,9.761025738966417,COMPLETE
14,14,0.43414322250639387,2023-04-05 19:50:10.194919,2023-04-05 19:50:17.588736,0 days 00:00:07.393817,0.17707755709705325,229,19,8.355291233296349,8.826926382079575,COMPLETE
15,15,0.434285308326229,2023-04-05 19:50:17.589021,2023-04-05 19:50:26.519254,0 days 00:00:08.930233,0.14528518652888184,227,19,7.8609405554357465,7.345635891220742,COMPLETE
16,16,0.5122193805058255,2023-04-05 19:50:26.519549,2023-04-05 19:51:58.233721,0 days 00:01:31.714172,0.016733775305818505,194,17,9.500183809159829,8.702729782069229,COMPLETE
17,17,0.4487780619494175,2023-04-05 19:51:58.234043,2023-04-05 19:52:03.121669,0 days 00:00:04.887626,0.24174352247632477,215,25,6.658450959040047,6.900627794171819,COMPLETE
18,18,0.3510940608127309,2023-04-05 19:52:03.122090,2023-04-05 19:52:07.321164,0 days 00:00:04.199074,0.297968495481486,248,50,8.293892001013871,8.630937592864354,COMPLETE
19,19,0.5316851378232452,2023-04-05 19:52:07.321461,2023-04-05 19:52:17.126936,0 days 00:00:09.805475,0.11021628285899163,193,29,9.979809549623262,9.80816079341039,COMPLETE
20,20,0.4195794259732879,2023-04-05 19:52:17.127232,2023-04-05 19:52:22.796294,0 days 00:00:05.669062,0.22278624090144927,221,14,6.8258392934732,6.2800984681101735,COMPLETE
21,21,0.5365160556976413,2023-04-05 19:52:22.796743,2023-04-05 19:52:32.958999,0 days 00:00:10.162256,0.10158892236035795,187,29,9.930600075024808,9.9810287581474,COMPLETE
22,22,0.5414180164819551,2023-04-05 19:52:32.959299,2023-04-05 19:52:46.344938,0 days 00:00:13.385639,0.08123797005057579,189,23,8.803387172204653,9.074274476883275,COMPLETE
23,23,0.5218812162546178,2023-04-05 19:52:46.345240,2023-04-05 19:53:00.206132,0 days 00:00:13.860892,0.08104700198076187,194,22,8.831851951979196,9.00657628126306,COMPLETE
24,24,0.5414180164819551,2023-04-05 19:53:00.206458,2023-04-05 19:53:05.221022,0 days 00:00:05.014564,0.20950171417311914,180,17,7.485619621143529,7.978919279902572,COMPLETE
25,25,0.4975845410628019,2023-04-05 19:53:05.221320,2023-04-05 19:53:20.640329,0 days 00:00:15.419009,0.07750341445692571,206,22,8.824042552035857,9.277993442558982,COMPLETE
26,26,0.5169082125603864,2023-04-05 19:53:20.640757,2023-04-05 19:53:27.393967,0 days 00:00:06.753210,0.16400909204266503,190,16,7.593386888739341,8.197735884596309,COMPLETE
27,27,0.4926115373685706,2023-04-05 19:53:27.394394,2023-04-05 19:55:21.999018,0 days 00:01:54.604624,0.013381845181349796,199,25,8.558001733096274,7.036769166724891,COMPLETE
28,28,0.355924978687127,2023-04-05 19:55:21.999314,2023-04-05 19:55:27.157369,0 days 00:00:05.158055,0.2569596899179645,241,27,7.882486354950216,9.086954288381254,COMPLETE
29,29,0.48294970161977835,2023-04-05 19:55:27.157801,2023-04-05 19:55:39.836258,0 days 00:00:12.678457,0.09315192715579872,214,32,8.903188269940298,7.5338167460932315,COMPLETE
30,30,0.34626314293833477,2023-04-05 19:55:39.836551,2023-04-05 19:55:47.789914,0 days 00:00:07.953363,0.17071718761652233,261,37,6.524222717085905,8.389836181157436,COMPLETE
31,31,0.565714691673771,2023-04-05 19:55:47.790215,2023-04-05 19:56:01.460104,0 days 00:00:13.669889,0.07810568417588773,182,17,7.501361971968369,9.312831749570066,COMPLETE
32,32,0.5561238988348963,2023-04-05 19:56:01.460555,2023-04-05 19:56:18.989188,0 days 00:00:17.528633,0.060742575938998636,187,22,7.491677109246145,9.441817844083793,COMPLETE
33,33,0.5024865018471156,2023-04-05 19:56:18.989492,2023-04-05 19:56:43.694275,0 days 00:00:24.704783,0.0476970034821576,200,20,7.317090901422347,9.423505501392231,COMPLETE
34,34,0.5558397271952259,2023-04-05 19:56:43.694600,2023-04-05 19:56:52.102152,0 days 00:00:08.407552,0.12842647869946902,186,16,6.034865756319664,8.27590603481819,COMPLETE
35,35,0.47790565501562937,2023-04-05 19:56:52.102454,2023-04-05 19:57:00.272258,0 days 00:00:08.169804,0.14030448983511162,199,11,6.021913225638905,8.309605406200866,COMPLETE
36,36,0.48273657289002553,2023-04-05 19:57:00.272554,2023-04-05 19:57:04.019188,0 days 00:00:03.746634,0.281420774787402,188,15,6.318257523812716,7.823427413184434,COMPLETE
37,37,0.40011366865586817,2023-04-05 19:57:04.019484,2023-04-05 19:57:07.690199,0 days 00:00:03.670715,0.32381312356787556,206,10,5.630163044316816,9.475450239553828,COMPLETE
38,38,0.5218101733447001,2023-04-05 19:57:07.690511,2023-04-05 19:57:12.479317,0 days 00:00:04.788806,0.20693601334624823,186,27,6.92364921158048,8.53391291712067,COMPLETE
39,39,0.3950696220517193,2023-04-05 19:57:12.479608,2023-04-05 19:57:15.025047,0 days 00:00:02.545439,0.425668759579098,201,31,5.772742245573497,7.605064135252997,COMPLETE
40,40,0.49261153736857066,2023-04-05 19:57:15.025361,2023-04-05 19:57:34.170614,0 days 00:00:19.145253,0.06616877794924579,211,13,6.136872603497144,9.971061131960292,COMPLETE
41,41,0.5265700483091788,2023-04-05 19:57:34.170935,2023-04-05 19:59:37.838702,0 days 00:02:03.667767,0.01154277740029716,180,21,7.693269344830407,9.289101403886653,COMPLETE
42,42,0.536587098607559,2023-04-05 19:59:37.839006,2023-04-05 19:59:57.021363,0 days 00:00:19.182357,0.05927841548176151,194,18,7.253020286180684,8.792273233441422,COMPLETE
43,43,0.5363029269678886,2023-04-05 19:59:57.021776,2023-04-05 20:00:04.665654,0 days 00:00:07.643878,0.14022807430133208,185,15,8.003788907365404,9.492270551341736,COMPLETE
44,44,0.5655726058539358,2023-04-05 20:00:04.665948,2023-04-05 20:00:13.761772,0 days 00:00:09.095824,0.11358229081688191,183,18,6.904513532479296,8.10411111515044,COMPLETE
45,45,0.4924694515487354,2023-04-05 20:00:13.762064,2023-04-05 20:00:22.082988,0 days 00:00:08.320924,0.12925327508960055,197,24,6.707330975039666,8.232085233540902,COMPLETE
46,46,0.3072605853935777,2023-04-05 20:00:22.083289,2023-04-05 20:00:30.058795,0 days 00:00:07.975506,0.19414004389009856,270,17,7.064263504231596,7.9923807597822005,COMPLETE
47,47,0.5510088093208297,2023-04-05 20:00:30.059225,2023-04-05 20:00:39.275145,0 days 00:00:09.215920,0.11378736910979606,184,12,4.8169041465549824,8.542034277755008,COMPLETE
48,48,0.5365160556976414,2023-04-05 20:00:39.275442,2023-04-05 20:00:59.789391,0 days 00:00:20.513949,0.05126242492329418,190,26,5.310419942394376,9.543615834463514,COMPLETE
49,49,0.5363029269678886,2023-04-05 20:00:59.789716,2023-04-05 20:01:04.104300,0 days 00:00:04.314584,0.23623571936924667,185,21,6.319295313199522,8.839655773899391,COMPLETE
50,50,0.4975845410628019,2023-04-05 20:01:04.104616,2023-04-05 20:01:10.170573,0 days 00:00:06.065957,0.17501462230422787,204,35,7.495456226764592,7.330905183066418,COMPLETE
51,51,0.5510088093208297,2023-04-05 20:01:10.171065,2023-04-05 20:01:18.778359,0 days 00:00:08.607294,0.12192866253835141,184,12,4.571712257271218,8.594643881151306,COMPLETE
