,number,value,datetime_start,datetime_complete,duration,params_max_bpm,params_min_bpm,params_time_window,state
0,0,0.1221227621483376,2023-04-07 03:56:20.800591,2023-04-07 03:57:14.718609,0 days 00:00:53.918018,216,10,10,COMPLETE
1,1,0.08773799374822393,2023-04-07 03:57:14.718878,2023-04-07 03:58:00.148150,0 days 00:00:45.429272,188,13,1,COMPLETE
2,2,0.12674055129298098,2023-04-07 03:58:00.148399,2023-04-07 03:58:56.459457,0 days 00:00:56.311058,275,41,5,COMPLETE
3,3,0.1606990622335891,2023-04-07 03:58:56.459715,2023-04-07 03:59:50.933296,0 days 00:00:54.473581,299,26,9,COMPLETE
4,4,0.07317419721511793,2023-04-07 03:59:50.933566,2023-04-07 04:00:44.885245,0 days 00:00:53.951679,219,46,6,COMPLETE
5,5,0.07807615799943167,2023-04-07 04:00:44.885632,2023-04-07 04:01:42.320396,0 days 00:00:57.434764,235,21,2,COMPLETE
6,6,0.06813015061096904,2023-04-07 04:01:42.320653,2023-04-07 04:02:38.386859,0 days 00:00:56.066206,217,49,2,COMPLETE
7,7,0.17540494458653025,2023-04-07 04:02:38.387113,2023-04-07 04:03:31.608902,0 days 00:00:53.221789,283,11,10,COMPLETE
8,8,0.09271099744245526,2023-04-07 04:03:31.609154,2023-04-07 04:04:26.871052,0 days 00:00:55.261898,226,47,8,COMPLETE
9,9,0.09263995453253766,2023-04-07 04:04:26.871308,2023-04-07 04:05:21.275150,0 days 00:00:54.403842,216,37,9,COMPLETE
10,10,0.16098323387325944,2023-04-07 04:05:21.275411,2023-04-07 04:06:16.728654,0 days 00:00:55.453243,263,19,6,COMPLETE
11,11,0.18527990906507533,2023-04-07 04:06:16.729053,2023-04-07 04:07:12.582943,0 days 00:00:55.853890,265,19,6,COMPLETE
12,12,0.1852799090650753,2023-04-07 04:07:12.583214,2023-04-07 04:08:08.338772,0 days 00:00:55.755558,265,19,4,COMPLETE
13,13,0.08780903665814153,2023-04-07 04:08:08.339047,2023-04-07 04:09:03.533463,0 days 00:00:55.194416,253,31,4,COMPLETE
14,14,0.14627735152031826,2023-04-07 04:09:03.533727,2023-04-07 04:10:00.484342,0 days 00:00:56.950615,252,19,4,COMPLETE
15,15,0.20474566638249503,2023-04-07 04:10:00.484611,2023-04-07 04:10:56.077563,0 days 00:00:55.592952,276,28,7,COMPLETE
16,16,0.21433645922136968,2023-04-07 04:10:56.077839,2023-04-07 04:11:50.781095,0 days 00:00:54.703256,289,30,7,COMPLETE
17,17,0.20943449843705597,2023-04-07 04:11:50.781487,2023-04-07 04:12:46.921610,0 days 00:00:56.140123,295,31,7,COMPLETE
18,18,0.19487070190394998,2023-04-07 04:12:46.921877,2023-04-07 04:13:41.581215,0 days 00:00:54.659338,300,34,8,COMPLETE
19,19,0.1999147485080989,2023-04-07 04:13:41.581483,2023-04-07 04:14:35.588816,0 days 00:00:54.007333,289,38,7,COMPLETE
20,20,0.08773799374822393,2023-04-07 04:14:35.589102,2023-04-07 04:15:24.800697,0 days 00:00:49.211595,181,26,7,COMPLETE
21,21,0.21902529127593065,2023-04-07 04:15:24.800966,2023-04-07 04:16:20.270286,0 days 00:00:55.469320,284,27,7,COMPLETE
22,22,0.20474566638249503,2023-04-07 04:16:20.270563,2023-04-07 04:17:14.848281,0 days 00:00:54.577718,291,32,8,COMPLETE
23,23,0.21462063086104008,2023-04-07 04:17:14.848702,2023-04-07 04:18:07.439001,0 days 00:00:52.590299,279,24,5,COMPLETE
24,24,0.21462063086104008,2023-04-07 04:18:07.439285,2023-04-07 04:18:59.465865,0 days 00:00:52.026580,279,24,5,COMPLETE
25,25,0.21462063086104008,2023-04-07 04:18:59.466138,2023-04-07 04:19:54.446128,0 days 00:00:54.979990,276,24,5,COMPLETE
26,26,0.16112531969309463,2023-04-07 04:19:54.446399,2023-04-07 04:20:51.259201,0 days 00:00:56.812802,251,15,3,COMPLETE
27,27,0.17533390167661267,2023-04-07 04:20:51.259477,2023-04-07 04:21:42.956682,0 days 00:00:51.697205,283,23,5,COMPLETE
28,28,0.14158851946575732,2023-04-07 04:21:42.956966,2023-04-07 04:22:39.484052,0 days 00:00:56.527086,271,27,3,COMPLETE
29,29,0.10215970446149475,2023-04-07 04:22:39.484457,2023-04-07 04:23:30.584893,0 days 00:00:51.100436,198,23,5,COMPLETE
30,30,0.14158851946575732,2023-04-07 04:23:30.585158,2023-04-07 04:24:25.701448,0 days 00:00:55.116290,241,15,6,COMPLETE
31,31,0.20453253765274226,2023-04-07 04:24:25.701713,2023-04-07 04:25:21.107441,0 days 00:00:55.405728,280,24,5,COMPLETE
32,32,0.14663256606990624,2023-04-07 04:25:21.107737,2023-04-07 04:26:17.694609,0 days 00:00:56.586872,257,28,4,COMPLETE
33,33,0.19984370559818132,2023-04-07 04:26:17.694883,2023-04-07 04:27:14.490448,0 days 00:00:56.795565,275,24,3,COMPLETE
34,34,0.22925547030406365,2023-04-07 04:27:14.490755,2023-04-07 04:28:09.793902,0 days 00:00:55.303147,270,21,5,COMPLETE
35,35,0.20971867007672632,2023-04-07 04:28:09.794307,2023-04-07 04:29:01.974107,0 days 00:00:52.179800,270,15,6,COMPLETE
36,36,0.20467462347257745,2023-04-07 04:29:01.974387,2023-04-07 04:29:57.678188,0 days 00:00:55.703801,285,21,5,COMPLETE
37,37,0.209434498437056,2023-04-07 04:29:57.678456,2023-04-07 04:30:48.483488,0 days 00:00:50.805032,294,34,4,COMPLETE
38,38,0.10727479397556124,2023-04-07 04:30:48.483771,2023-04-07 04:31:43.944478,0 days 00:00:55.460707,205,17,6,COMPLETE
39,39,0.07807615799943167,2023-04-07 04:31:43.944744,2023-04-07 04:32:39.798635,0 days 00:00:55.853891,244,21,1,COMPLETE
40,40,0.19984370559818132,2023-04-07 04:32:39.798896,2023-04-07 04:33:34.072603,0 days 00:00:54.273707,260,11,9,COMPLETE
41,41,0.17057402671213415,2023-04-07 04:33:34.073002,2023-04-07 04:34:26.132851,0 days 00:00:52.059849,270,25,5,COMPLETE
42,42,0.19025291275930659,2023-04-07 04:34:26.133117,2023-04-07 04:35:21.710635,0 days 00:00:55.577518,279,28,5,COMPLETE
43,43,0.18520886615515772,2023-04-07 04:35:21.710917,2023-04-07 04:36:16.975406,0 days 00:00:55.264489,286,22,6,COMPLETE
44,44,0.16588519465757315,2023-04-07 04:36:16.975686,2023-04-07 04:37:09.421275,0 days 00:00:52.445589,271,26,4,COMPLETE
45,45,0.08788007956805911,2023-04-07 04:37:09.421566,2023-04-07 04:38:05.260117,0 days 00:00:55.838551,234,17,6,COMPLETE
46,46,0.21462063086104008,2023-04-07 04:38:05.260386,2023-04-07 04:38:57.277732,0 days 00:00:52.017346,276,21,5,COMPLETE
47,47,0.12674055129298098,2023-04-07 04:38:57.278138,2023-04-07 04:39:54.012788,0 days 00:00:56.734650,266,25,2,COMPLETE
48,48,0.11693662972435352,2023-04-07 04:39:54.013065,2023-04-07 04:40:49.009388,0 days 00:00:54.996323,295,17,4,COMPLETE
49,49,0.20012787723785164,2023-04-07 04:40:49.009664,2023-04-07 04:41:43.066355,0 days 00:00:54.056691,280,33,8,COMPLETE
50,50,0.11231884057971014,2023-04-07 04:41:43.066669,2023-04-07 04:42:40.131287,0 days 00:00:57.064618,248,29,3,COMPLETE
51,51,0.20453253765274226,2023-04-07 04:42:40.131550,2023-04-07 04:43:36.942809,0 days 00:00:56.811259,276,20,5,COMPLETE
52,52,0.19018186984938903,2023-04-07 04:43:36.943099,2023-04-07 04:44:32.763285,0 days 00:00:55.820186,258,22,5,COMPLETE
53,53,0.19515487354362035,2023-04-07 04:44:32.763713,2023-04-07 04:45:28.975851,0 days 00:00:56.212138,286,24,6,COMPLETE
54,54,0.19977266268826374,2023-04-07 04:45:28.976145,2023-04-07 04:46:20.538032,0 days 00:00:51.561887,276,26,4,COMPLETE
55,55,0.19991474850809887,2023-04-07 04:46:20.538317,2023-04-07 04:47:13.665612,0 days 00:00:53.127295,265,18,10,COMPLETE
