,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma,params_max_bpm,params_min_bpm,params_time_window,state
0,0,0.0829070758738278,2023-04-07 19:55:47.307881,2023-04-07 19:56:41.868896,0 days 00:00:54.561015,0.09392339949828155,0.6076544376843811,0.9091268650646934,259,50,9,COMPLETE
1,1,0.0632992327365729,2023-04-07 19:56:41.869311,2023-04-07 19:57:33.091474,0 days 00:00:51.222163,0.45020614164015993,0.7731816032023623,0.11496429983286027,228,48,4,COMPLETE
2,2,0.11693662972435352,2023-04-07 19:57:33.091786,2023-04-07 19:58:27.380398,0 days 00:00:54.288612,0.3277158866390427,0.27035931690331416,0.9783694267251545,300,33,9,COMPLETE
3,3,0.17028985507246375,2023-04-07 19:58:27.380716,2023-04-07 19:59:21.593365,0 days 00:00:54.212649,0.34046111498624,0.9187809520183097,0.4281208388644203,284,30,10,COMPLETE
4,4,0.08788007956805911,2023-04-07 19:59:21.593683,2023-04-07 20:00:17.177505,0 days 00:00:55.583822,0.3562240890446494,0.8257678948850483,0.7731124195670183,221,28,6,COMPLETE
5,5,0.05370843989769821,2023-04-07 20:00:17.177816,2023-04-07 20:01:12.480433,0 days 00:00:55.302617,0.5257796750254748,0.5738683414667428,0.3544726714954848,232,38,5,COMPLETE
6,6,0.07310315430520034,2023-04-07 20:01:12.480735,2023-04-07 20:02:09.001213,0 days 00:00:56.520478,0.7863882535362408,0.6491637772060457,0.09680754787059909,221,28,5,COMPLETE
7,7,0.07324524012503553,2023-04-07 20:02:09.001619,2023-04-07 20:03:06.006103,0 days 00:00:57.004484,0.8201908626611817,0.40504027618136906,0.3245817737947223,229,26,2,COMPLETE
8,8,0.048735436203466896,2023-04-07 20:03:06.006409,2023-04-07 20:04:02.722251,0 days 00:00:56.715842,0.9420889866264429,0.45992636110925267,0.4729775933537742,203,50,3,COMPLETE
9,9,0.07317419721511793,2023-04-07 20:04:02.722580,2023-04-07 20:04:49.077157,0 days 00:00:46.354577,0.29645571639575796,0.3685087844610828,0.9068621206756036,182,12,1,COMPLETE
10,10,0.180306905370844,2023-04-07 20:04:49.077447,2023-04-07 20:05:43.418950,0 days 00:00:54.341503,0.07227976234328415,0.999800104441305,0.6484918226083463,277,16,10,COMPLETE
11,11,0.12190963341858481,2023-04-07 20:05:43.419259,2023-04-07 20:06:37.455175,0 days 00:00:54.035916,0.005554414560139054,0.9928176595328748,0.6049526553432638,279,15,10,COMPLETE
12,12,0.1803779482807616,2023-04-07 20:06:37.455477,2023-04-07 20:07:32.453349,0 days 00:00:54.997872,0.15559943361216072,0.9959703909329529,0.6340562383521333,266,19,7,COMPLETE
13,13,0.16552998010798523,2023-04-07 20:07:32.453776,2023-04-07 20:08:28.240793,0 days 00:00:55.787017,0.14290479907320938,0.9811647831853136,0.6278973277564716,265,16,7,COMPLETE
14,14,0.12219380505825521,2023-04-07 20:08:28.241098,2023-04-07 20:09:23.340781,0 days 00:00:55.099683,0.13789676070960166,0.02017234737454776,0.7127862354671055,252,21,7,COMPLETE
15,15,0.18016481955100883,2023-04-07 20:09:23.341095,2023-04-07 20:10:18.315936,0 days 00:00:54.974841,0.19720204020389764,0.8256853251785807,0.5801790546636775,277,21,8,COMPLETE
