,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_bpm_step,params_gamma,params_gaussian_prior_mu,params_gaussian_prior_sigma,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.302358624609264,2023-04-07 17:56:58.994206,2023-04-07 17:57:02.865674,0 days 00:00:03.871468,0.6527118014712494,0.10666784378396454,0.3611478876472236,0.6375385032200112,160,64.68549611299545,273,27,2.294225300179335,5.926909167238418,COMPLETE
1,1,0.22925547030406365,2023-04-07 17:57:02.866021,2023-04-07 17:57:05.744068,0 days 00:00:02.878047,0.6247818996900774,0.003652551363593992,0.4700815972785528,0.23827010127286652,68,617.8371259620702,254,34,4.937039290201705,9.488464726653403,COMPLETE
2,2,0.4241261722080137,2023-04-07 17:57:05.744437,2023-04-07 17:57:08.096995,0 days 00:00:02.352558,0.6140491452829395,0.1981456300271608,0.5897097826717662,0.017687320550754615,121,231.6579764383007,259,45,4.782234551528365,7.028088853690053,COMPLETE
3,3,0.258667235009946,2023-04-07 17:57:08.097344,2023-04-07 17:57:14.353809,0 days 00:00:06.256465,0.9535506952343707,0.6354984196044806,0.23391876328149194,0.7228366073292639,192,418.9833797444643,250,10,7.522585266733918,4.196159332236419,COMPLETE
4,4,0.20488775220233021,2023-04-07 17:57:14.354161,2023-04-07 17:57:16.237880,0 days 00:00:01.883719,0.36236756230020195,0.12578449695728633,0.8893732910222875,0.2953073259909199,140,26.65612335220238,286,35,8.171811807649323,3.500412404202444,COMPLETE
5,5,0.33631713554987214,2023-04-07 17:57:16.238227,2023-04-07 17:57:19.044358,0 days 00:00:02.806131,0.3584962562108457,0.7361213088137899,0.5427616037016773,0.1836012189882349,64,288.03060961809047,280,31,5.665055171885662,3.5817258043996,COMPLETE
6,6,0.1852799090650753,2023-04-07 17:57:19.044711,2023-04-07 17:57:21.152061,0 days 00:00:02.107350,0.35263555260822443,0.2380372319956212,0.8731519103543722,0.7124616506563606,176,521.158695590728,289,10,3.830755314870944,4.657278419182053,COMPLETE
7,7,0.62411196362603,2023-04-07 17:57:21.152420,2023-04-07 17:57:24.383785,0 days 00:00:03.231365,0.1178246256397607,0.963749110773536,0.4318922859871498,0.5224292810945815,110,190.6341490314706,256,35,9.727820638123866,1.5753690213593239,COMPLETE
8,8,0.5414180164819551,2023-04-07 17:57:24.384134,2023-04-07 17:57:27.371915,0 days 00:00:02.987781,0.7407195088762787,0.11413671770768263,0.5475536818117296,0.9579137002547434,137,625.8247052802993,292,18,1.4903651815398238,0.639282199963189,COMPLETE
9,9,0.3608269394714408,2023-04-07 17:57:27.372273,2023-04-07 17:57:31.074530,0 days 00:00:03.702257,0.8592532580242558,0.15911065475883368,0.3254110302390348,0.9131462015198921,151,430.3249736027045,245,45,6.300825049338805,7.652572205451674,COMPLETE
10,10,0.1366865586814436,2023-04-07 17:57:31.074883,2023-04-07 17:57:40.861835,0 days 00:00:09.786952,0.05283488056598962,0.9790431867642555,0.1557092799461663,0.468312457790332,226,914.0614967041206,264,23,9.852557206767198,0.6993583778673412,COMPLETE
11,11,0.4532537652742257,2023-04-07 17:57:40.862213,2023-04-07 17:57:43.587894,0 days 00:00:02.725681,0.0964732847218126,0.38399984754646865,0.6245869625220901,0.9499199786974493,104,700.0590962641124,298,19,0.6074021144579163,0.8756847750820917,COMPLETE
