,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_bpm_step,params_gamma,params_max_bpm,params_min_bpm,params_parncutt_prior_mu,params_parncutt_prior_sigma,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.13178459789712985,2023-04-07 18:28:18.638325,2023-04-07 18:28:24.228951,0 days 00:00:05.590626,0.46664474495598074,0.16774804138629462,0.2893977496312243,0.9009096450483787,292,21,238,9.059408323806103,7.525429269236601,5.654492832680772,COMPLETE
1,1,0.053779482807615804,2023-04-07 18:28:24.229285,2023-04-07 18:28:26.256105,0 days 00:00:02.026820,0.16308664893914693,0.7382226360190192,0.8370043708306532,0.2061948590012168,277,22,275,9.924134784166903,9.382470851784593,5.29706276386938,COMPLETE
2,2,0.1803779482807616,2023-04-07 18:28:26.256443,2023-04-07 18:28:28.474053,0 days 00:00:02.217610,0.8965664824237383,0.24694959084643497,0.7971565087985573,0.1755665831373039,300,26,204,2.0587415869055605,2.4298373995441933,1.8585482458848186,COMPLETE
3,3,0.30257175333901676,2023-04-07 18:28:28.474394,2023-04-07 18:28:31.903091,0 days 00:00:03.428697,0.12237316997964265,0.5481891547592399,0.46728025333275003,0.3754422977169296,274,16,174,3.1101783233356564,9.969543159056782,2.218919912585148,COMPLETE
4,4,0.47797669792554703,2023-04-07 18:28:31.903429,2023-04-07 18:28:39.868081,0 days 00:00:07.964652,0.14584114584597097,0.37098070355624746,0.18484333254903598,0.485907727989478,274,34,137,7.950802334971679,7.138216954652093,1.0446869086495296,COMPLETE
5,5,0.4000426257459506,2023-04-07 18:28:39.868421,2023-04-07 18:28:42.125070,0 days 00:00:02.256649,0.5302506215919283,0.87276657137581,0.6724421108365494,0.021786048768560162,279,48,121,2.987782113155301,9.268783429769163,6.351418476606303,COMPLETE
6,6,0.07807615799943167,2023-04-07 18:28:42.125418,2023-04-07 18:28:44.179362,0 days 00:00:02.053944,0.5604919198193526,0.5743521270505612,0.8009589158680351,0.622861213384688,283,34,210,5.897646354094477,6.837958153557574,4.555764994704384,COMPLETE
7,7,0.1851378232452401,2023-04-07 18:28:44.179717,2023-04-07 18:28:49.442769,0 days 00:00:05.263052,0.4326337359470265,0.5944281374673144,0.25916200642928156,0.16484492861250755,273,49,57,2.656702247928459,7.07153276639126,6.399904240674244,COMPLETE
8,8,0.06351236146632566,2023-04-07 18:28:49.443103,2023-04-07 18:28:52.305942,0 days 00:00:02.862839,0.026507456498114035,0.46948310917958347,0.5525400875683549,0.8446374971439925,292,34,252,9.802271826180997,1.5351434014712289,6.206531310391063,COMPLETE
9,9,0.14620630861040065,2023-04-07 18:28:52.306286,2023-04-07 18:28:56.614676,0 days 00:00:04.308390,0.34542490597434317,0.10655743011084284,0.3342916473105796,0.05286902099499502,272,17,232,4.1886232624320465,2.1071851728883475,5.642715666757203,COMPLETE
