,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_resonance_prior_beta,params_resonance_prior_bpm_ext,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.14144643364592213,2023-04-07 00:23:32.678177,2023-04-07 00:23:46.083463,0 days 00:00:13.405286,0.09900350799786516,267,13,5.2717385939478945,33,1.2231023777183803,6.691847777300748,COMPLETE
1,1,0.13185564080704745,2023-04-07 00:23:46.083775,2023-04-07 00:23:47.824893,0 days 00:00:01.741118,0.8262157783834932,215,12,4.901174372969861,193,1.0181854952196965,9.017777489859144,COMPLETE
2,2,0.47804774083546464,2023-04-07 00:23:47.825211,2023-04-07 00:23:50.824849,0 days 00:00:02.999638,0.4098968393065631,222,24,3.7591984642441947,111,6.738776771041663,2.5582134226909017,COMPLETE
3,3,0.41439329354930377,2023-04-07 00:23:50.825166,2023-04-07 00:23:53.047628,0 days 00:00:02.222462,0.5230124763057082,182,22,3.429041620009151,118,7.7445556129662885,7.44854604839384,COMPLETE
4,4,0.22911338448422847,2023-04-07 00:23:53.047963,2023-04-07 00:23:55.430273,0 days 00:00:02.382310,0.6632103329575788,258,11,4.433873957833465,91,3.6648526860461,8.789190413902832,COMPLETE
5,5,0.2390593918726911,2023-04-07 00:23:55.430607,2023-04-07 00:23:57.338026,0 days 00:00:01.907419,0.7409916585088117,233,25,3.048546948318173,93,6.480940351060279,7.672846901336382,COMPLETE
6,6,0.2441744813867576,2023-04-07 00:23:57.338340,2023-04-07 00:24:41.069658,0 days 00:00:43.731318,0.02614966892589303,226,45,1.7095581051981028,216,2.7708093595934074,8.641357712150597,COMPLETE
7,7,0.24879227053140096,2023-04-07 00:24:41.069981,2023-04-07 00:24:42.503174,0 days 00:00:01.433193,0.9650173618650194,227,43,4.062596158380383,72,9.413839057483237,1.1681778583002806,COMPLETE
8,8,0.4828076157999431,2023-04-07 00:24:42.503479,2023-04-07 00:24:46.513998,0 days 00:00:04.010519,0.30565088327793344,230,23,3.452862109251962,93,6.2709994190416065,6.744433187315345,COMPLETE
9,9,0.424410343847684,2023-04-07 00:24:46.514304,2023-04-07 00:24:52.462867,0 days 00:00:05.948563,0.1571746484373,190,38,0.6885566681372178,139,5.30926147806662,8.09223448873106,COMPLETE
10,10,0.20488775220233021,2023-04-07 00:24:52.463180,2023-04-07 00:24:57.920208,0 days 00:00:05.457028,0.2899333237839572,287,33,7.423375439793464,259,9.483438508929115,5.028629102923077,COMPLETE
11,11,0.004901960784313725,2023-04-07 00:24:57.920573,2023-04-07 00:25:00.992553,0 days 00:00:03.071980,0.36330556634529376,205,24,2.3764221597666824,33,7.024782077518167,4.325485077374363,COMPLETE
