,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.43890309747087236,2023-04-06 20:07:37.799209,2023-04-06 20:07:40.642473,0 days 00:00:02.843264,0.32406852349524373,199,47,2.3646344416693257,6.3465834077840055,COMPLETE
1,1,0.11729184427394146,2023-04-06 20:07:40.642783,2023-04-06 20:07:42.518573,0 days 00:00:01.875790,0.8471745396201058,259,29,0.8827043920545653,8.814141898562516,COMPLETE
2,2,0.24374822392725204,2023-04-06 20:07:42.518861,2023-04-06 20:07:46.391820,0 days 00:00:03.872959,0.3909589114027945,288,18,3.827983411391572,6.412743356350892,COMPLETE
3,3,0.2341574310883774,2023-04-06 20:07:46.392106,2023-04-06 20:07:48.342643,0 days 00:00:01.950537,0.8146406349083007,260,19,3.2122246250247564,1.3163722250426837,COMPLETE
4,4,0.3609690252912759,2023-04-06 20:07:48.342933,2023-04-06 20:07:51.708831,0 days 00:00:03.365898,0.36279524377768446,255,46,2.5372539735766475,1.3143871419016107,COMPLETE
5,5,0.15146348394430234,2023-04-06 20:07:51.709120,2023-04-06 20:07:53.768049,0 days 00:00:02.058929,0.775167048342784,257,19,0.614459731931108,6.6880856043836365,COMPLETE
6,6,0.45353793691389593,2023-04-06 20:07:53.768333,2023-04-06 20:08:18.857590,0 days 00:00:25.089257,0.04731791114120926,206,17,4.428705737313457,1.222356213457984,COMPLETE
7,7,0.2341574310883774,2023-04-06 20:08:18.857885,2023-04-06 20:08:22.697376,0 days 00:00:03.839491,0.3856550332186974,283,47,9.160596962556717,7.20755555242403,COMPLETE
8,8,0.39499857914180164,2023-04-06 20:08:22.697658,2023-04-06 20:08:25.470076,0 days 00:00:02.772418,0.3337899187279684,185,34,1.367866840754641,9.694681092158147,COMPLETE
9,9,0.15132139812446718,2023-04-06 20:08:25.470364,2023-04-06 20:08:26.928175,0 days 00:00:01.457811,0.8743999149084232,208,43,2.2476077790299724,9.65781885150465,COMPLETE
10,10,0.4585109406081273,2023-04-06 20:08:26.928467,2023-04-06 20:09:49.628692,0 days 00:01:22.700225,0.02232102542836371,223,11,6.046183883507464,3.3680033777772493,COMPLETE
11,11,0.4731457800511509,2023-04-06 20:09:49.628975,2023-04-06 20:12:19.773028,0 days 00:02:30.144053,0.012170112006604263,225,10,5.664745660834151,3.1463072217854964,COMPLETE
12,12,0.4536089798238136,2023-04-06 20:12:19.773439,2023-04-06 20:13:58.171741,0 days 00:01:38.398302,0.017958221770957496,225,10,6.379482312620654,3.6334481564466508,COMPLETE
13,13,0.4486359761295822,2023-04-06 20:13:58.172154,2023-04-06 20:14:07.197452,0 days 00:00:09.025298,0.1515078082771796,229,10,5.926727330290501,3.728714361782705,COMPLETE
14,14,0.42433930093776645,2023-04-06 20:14:07.198109,2023-04-06 20:14:15.083802,0 days 00:00:07.885693,0.16439374324272613,234,26,6.9841678827870135,3.4565013567106204,COMPLETE
15,15,0.34626314293833477,2023-04-06 20:14:15.084239,2023-04-06 20:14:17.447623,0 days 00:00:02.363384,0.5877247769774574,219,14,5.033571090492629,4.893415436768772,COMPLETE
16,16,0.41446433645922137,2023-04-06 20:14:17.447945,2023-04-06 20:14:25.399650,0 days 00:00:07.951705,0.1654281400159159,245,37,7.48809942405059,2.3668623061204856,COMPLETE
17,17,0.5169792554703041,2023-04-06 20:14:25.400130,2023-04-06 20:14:59.631149,0 days 00:00:34.231019,0.030403908921927614,184,25,5.362851142992987,2.5038071723928264,COMPLETE
18,18,0.4921852799090651,2023-04-06 20:14:59.631445,2023-04-06 20:15:04.927012,0 days 00:00:05.295567,0.18756084047719937,181,23,4.9994572592444415,0.5386117149086429,COMPLETE
19,19,0.47769252628587666,2023-04-06 20:15:04.927334,2023-04-06 20:15:08.796097,0 days 00:00:03.868763,0.2514118941676521,180,24,4.910012276597797,0.7550243452412283,COMPLETE
20,20,0.43371696504688834,2023-04-06 20:15:08.796401,2023-04-06 20:15:11.030099,0 days 00:00:02.233698,0.5046390415359845,193,24,4.359151507362694,2.130722348063299,COMPLETE
21,21,0.49708724069337884,2023-04-06 20:15:11.030408,2023-04-06 20:15:14.848989,0 days 00:00:03.818581,0.2435249885233342,182,24,4.957986324022128,0.6100526029759019,COMPLETE
22,22,0.46810173344700196,2023-04-06 20:15:14.849281,2023-04-06 20:15:22.274076,0 days 00:00:07.424795,0.12515345671952227,191,32,3.76114906784443,0.6450898058360695,COMPLETE
23,23,0.5168371696504689,2023-04-06 20:15:22.274368,2023-04-06 20:15:25.992042,0 days 00:00:03.717674,0.24794693920167732,180,28,5.189071212430961,1.9287610923618592,COMPLETE
24,24,0.44366297243535097,2023-04-06 20:15:25.992334,2023-04-06 20:15:30.385002,0 days 00:00:04.392668,0.2526108916899358,210,28,6.694089038546655,2.1342470614082885,COMPLETE
25,25,0.4729326513213981,2023-04-06 20:15:30.385296,2023-04-06 20:15:34.282016,0 days 00:00:03.896720,0.252357039282368,198,38,5.4027535531450885,1.8993470831284116,COMPLETE
26,26,0.5169082125603864,2023-04-06 20:15:34.282307,2023-04-06 20:15:45.852000,0 days 00:00:11.569693,0.09450908984004072,190,22,7.7052016718366065,2.6537107964286135,COMPLETE
27,27,0.5073174197215118,2023-04-06 20:15:45.852292,2023-04-06 20:15:57.698792,0 days 00:00:11.846500,0.0875587477453626,191,32,8.546337013891108,2.6503501542167216,COMPLETE
28,28,0.46824381926683717,2023-04-06 20:15:57.699080,2023-04-06 20:16:12.486086,0 days 00:00:14.787006,0.08076494948587926,205,21,7.537474221601307,4.648850320224331,COMPLETE
29,29,0.4487070190394998,2023-04-06 20:16:12.486379,2023-04-06 20:16:28.874003,0 days 00:00:16.387624,0.07497531391600831,215,27,9.95258784175394,4.218733220477822,COMPLETE
30,30,0.48273657289002564,2023-04-06 20:16:28.874309,2023-04-06 20:16:37.870398,0 days 00:00:08.996089,0.11196354430220457,198,36,6.336670235548402,2.814569099963467,COMPLETE
31,31,0.5072463768115941,2023-04-06 20:16:37.870720,2023-04-06 20:16:48.483874,0 days 00:00:10.613154,0.09743481385300322,190,32,8.361460735324691,2.8295501082617758,COMPLETE
32,32,0.5121483375959079,2023-04-06 20:16:48.484171,2023-04-06 20:16:58.865872,0 days 00:00:10.381701,0.10160161832906049,192,30,8.228710997566743,2.6183622507303626,COMPLETE
33,33,0.4778346121057118,2023-04-06 20:16:58.866172,2023-04-06 20:17:04.457375,0 days 00:00:05.591203,0.19338506720593196,200,28,7.365709913716332,1.953982348315487,COMPLETE
34,34,0.4924694515487354,2023-04-06 20:17:04.457677,2023-04-06 20:17:13.187878,0 days 00:00:08.730201,0.1104478575689644,189,40,8.096942806853884,1.8194924011481601,COMPLETE
35,35,0.5073174197215118,2023-04-06 20:17:13.188178,2023-04-06 20:17:18.624374,0 days 00:00:05.436196,0.1996263440744993,200,21,5.697438167065576,3.997572645761417,COMPLETE
36,36,0.43414322250639387,2023-04-06 20:17:18.624669,2023-04-06 20:17:38.768031,0 days 00:00:20.143362,0.05858882238258923,213,30,7.152326124695219,2.697091972653392,COMPLETE
37,37,0.34612105711849955,2023-04-06 20:17:38.768346,2023-04-06 20:17:43.685532,0 days 00:00:04.917186,0.3037954354805513,298,50,7.89722535473153,1.3307604614578712,COMPLETE
38,38,0.35599602159704463,2023-04-06 20:17:43.685847,2023-04-06 20:17:55.862750,0 days 00:00:12.176903,0.13005026028941213,275,16,6.731196920456849,5.430542545091445,COMPLETE
39,39,0.5218101733447003,2023-04-06 20:17:55.863041,2023-04-06 20:19:41.875193,0 days 00:01:46.012152,0.01374320829569943,186,21,8.954760858245574,3.125409501874657,COMPLETE
40,40,0.5316851378232452,2023-04-06 20:19:41.875495,2023-04-06 20:20:05.055323,0 days 00:00:23.179828,0.04711025337306909,185,20,9.079140475710293,3.140743421715961,COMPLETE
41,41,0.53154305200341,2023-04-06 20:20:05.055768,2023-04-06 20:22:26.529057,0 days 00:02:21.473289,0.010803084007740316,184,21,8.998860703770077,3.196896017304727,COMPLETE
42,42,0.5218812162546178,2023-04-06 20:22:26.529362,2023-04-06 20:24:13.803080,0 days 00:01:47.273718,0.013819353568163412,187,21,8.768885352559105,3.330747175211256,COMPLETE
43,43,0.5217391304347826,2023-04-06 20:24:13.803544,2023-04-06 20:25:06.326678,0 days 00:00:52.523134,0.02662170235128311,186,18,9.080081346088727,3.2922967440971473,COMPLETE
44,44,0.49751349815288437,2023-04-06 20:25:06.327145,2023-04-06 20:26:52.599447,0 days 00:01:46.272302,0.015092671598453539,204,19,9.115105549993322,4.075319982922903,COMPLETE
45,45,0.5073884626314294,2023-04-06 20:26:52.599899,2023-04-06 20:27:19.089486,0 days 00:00:26.489587,0.04592714839585312,197,14,8.853104722070356,3.440278974848562,COMPLETE
46,46,0.5218812162546178,2023-04-06 20:27:19.089837,2023-04-06 20:29:21.593298,0 days 00:02:02.503461,0.012737136834067991,188,16,9.65336742281477,3.2055328300590604,COMPLETE
47,47,0.42924126172208016,2023-04-06 20:29:21.593781,2023-04-06 20:29:47.432787,0 days 00:00:25.839006,0.05786875481706274,244,15,9.637092316011762,3.0470091298207884,COMPLETE
48,48,0.5217391304347826,2023-04-06 20:29:47.433275,2023-04-06 20:30:05.661401,0 days 00:00:18.228126,0.061740646219063874,186,17,9.404252218787452,3.755170625595135,COMPLETE
49,49,0.49261153736857066,2023-04-06 20:30:05.661856,2023-04-06 20:32:05.328617,0 days 00:01:59.666761,0.014248351997800357,203,13,9.993455749650938,4.205401646828314,COMPLETE
50,50,0.49744245524296665,2023-04-06 20:32:05.328918,2023-04-06 20:32:12.936650,0 days 00:00:07.607732,0.1466732970206872,195,20,8.598642226443532,3.0814500030923866,COMPLETE
51,51,0.5218812162546178,2023-04-06 20:32:12.936950,2023-04-06 20:33:34.265592,0 days 00:01:21.328642,0.01770244460339169,186,17,9.09796581125773,3.265461025694646,COMPLETE
52,52,0.5169792554703041,2023-04-06 20:33:34.265887,2023-04-06 20:33:53.155675,0 days 00:00:18.889788,0.058717129319857064,184,18,9.487339923549975,3.20970568176571,COMPLETE
53,53,0.53154305200341,2023-04-06 20:33:53.155984,2023-04-06 20:36:13.856274,0 days 00:02:20.700290,0.011421774860557267,187,13,8.902333483874354,3.7000469346848464,COMPLETE
54,54,0.5265700483091788,2023-04-06 20:36:13.856589,2023-04-06 20:36:21.641359,0 days 00:00:07.784770,0.14726296027275199,195,14,8.648232293958795,3.6436026136623028,COMPLETE
55,55,0.5120062517760727,2023-04-06 20:36:21.641810,2023-04-06 20:36:29.149379,0 days 00:00:07.507569,0.15498381019660207,194,11,8.654822646435695,3.6060692740652995,COMPLETE
56,56,0.385407786302927,2023-04-06 20:36:29.149700,2023-04-06 20:36:54.890092,0 days 00:00:25.740392,0.06278750109341,266,14,8.123733048296799,3.8946035435948696,COMPLETE
57,57,0.5510798522307474,2023-04-06 20:36:54.890401,2023-04-06 20:37:04.720358,0 days 00:00:09.829957,0.11260231179211391,180,12,9.581468700054055,4.448122308094781,COMPLETE
58,58,0.4828076157999432,2023-04-06 20:37:04.720683,2023-04-06 20:37:14.712059,0 days 00:00:09.991376,0.1302189181534447,209,12,9.34632359407603,4.567339576387606,COMPLETE
59,59,0.555839727195226,2023-04-06 20:37:14.712379,2023-04-06 20:37:21.133700,0 days 00:00:06.421321,0.17199227728840688,182,12,8.41591678701431,5.367175380171679,COMPLETE
60,60,0.5559107701051436,2023-04-06 20:37:21.134009,2023-04-06 20:37:27.188697,0 days 00:00:06.054688,0.18238051217958054,181,12,8.390876281648358,5.355080940273267,COMPLETE
61,61,0.54127593066212,2023-04-06 20:37:27.189028,2023-04-06 20:37:33.015212,0 days 00:00:05.826184,0.1827939597078714,180,12,8.392788625474694,5.61050449505924,COMPLETE
