,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_gaussian_prior_mu,params_gaussian_prior_sigma,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.2729468599033817,2023-04-06 16:44:44.202525,2023-04-06 16:44:46.046565,0 days 00:00:01.844040,0.6919343456606716,84,550.7197809386294,223,35,2.7027292908410363,3.5255858281444734,COMPLETE
1,1,0.03900255754475704,2023-04-06 16:44:46.046869,2023-04-06 16:45:15.355359,0 days 00:00:29.308490,0.05746581432665682,237,615.0501344174082,290,29,8.08649164170009,1.1838930012665012,COMPLETE
2,2,0.2925547030406365,2023-04-06 16:45:15.355683,2023-04-06 16:45:17.808046,0 days 00:00:02.452363,0.6708170129994965,122,81.32576120445832,279,19,3.195897201293368,9.322644085182324,COMPLETE
3,3,0.1415174765558397,2023-04-06 16:45:17.808352,2023-04-06 16:45:19.837218,0 days 00:00:02.028866,0.6309908898513334,168,984.5481508481985,210,18,4.498339172644048,8.42459064088218,COMPLETE
4,4,0.0,2023-04-06 16:45:19.837532,2023-04-06 16:45:24.181675,0 days 00:00:04.344143,0.3424763924423624,288,812.0677588040504,269,24,8.434537872027466,7.606364079608582,COMPLETE
5,5,0.09263995453253766,2023-04-06 16:45:24.181987,2023-04-06 16:45:26.622036,0 days 00:00:02.440049,0.5858422335863284,49,786.5337877901892,258,32,7.901759183708191,9.603660217366938,COMPLETE
6,6,0.4293833475419153,2023-04-06 16:45:26.622351,2023-04-06 16:45:29.587742,0 days 00:00:02.965391,0.4062396583537894,113,633.5118693632893,239,42,6.307134578228056,8.415260784195906,COMPLETE
7,7,0.014705882352941178,2023-04-06 16:45:29.588056,2023-04-06 16:45:33.050844,0 days 00:00:03.462788,0.46202831960037755,40,133.14401568036857,280,15,8.7072119122725,9.719257230494463,COMPLETE
8,8,0.014705882352941178,2023-04-06 16:45:33.051158,2023-04-06 16:45:34.947530,0 days 00:00:01.896372,0.7280124882923512,273,664.5642008035553,231,24,3.868161914023343,3.0695959010333045,COMPLETE
9,9,0.3510230179028133,2023-04-06 16:45:34.947847,2023-04-06 16:45:37.308674,0 days 00:00:02.360827,0.6504720844992448,66,956.1924603807662,284,42,0.7965187235611059,2.7661096851691678,COMPLETE
10,10,0.04880647911338448,2023-04-06 16:45:37.308990,2023-04-06 16:45:38.494019,0 days 00:00:01.185029,0.9553052918744349,181,409.8999286734785,181,50,6.445926769325693,6.523602653088826,COMPLETE
11,11,0.5168371696504689,2023-04-06 16:45:38.494334,2023-04-06 16:45:41.968793,0 days 00:00:03.474459,0.34827371561092,110,991.4309807772343,249,43,1.0228508116560526,5.393677953800681,COMPLETE
12,12,0.53154305200341,2023-04-06 16:45:41.969108,2023-04-06 16:45:46.486081,0 days 00:00:04.516973,0.27013452126459214,107,441.2617072127989,251,44,5.8845015403874115,5.780076785960571,COMPLETE
13,13,0.20957658425689116,2023-04-06 16:45:46.486398,2023-04-06 16:45:51.326841,0 days 00:00:04.840443,0.23136644188429842,13,416.7116598946893,252,49,0.5999440329262942,5.619657621657291,COMPLETE
14,14,0.4486359761295822,2023-04-06 16:45:51.327160,2023-04-06 16:45:56.876789,0 days 00:00:05.549629,0.24466225720971388,137,315.73267456291904,254,40,9.907203769712268,4.953199892947858,COMPLETE
15,15,0.12219380505825521,2023-04-06 16:45:56.877105,2023-04-06 16:46:18.122434,0 days 00:00:21.245329,0.05197901346632458,198,272.4605891418884,219,45,5.310012486695529,6.190821046121514,COMPLETE
16,16,0.34121909633418585,2023-04-06 16:46:18.122819,2023-04-06 16:46:21.755669,0 days 00:00:03.632850,0.26250047372907215,84,484.215235971059,202,37,1.8704614680205596,4.5973923971099575,COMPLETE
17,17,0.5752344416027281,2023-04-06 16:46:21.756122,2023-04-06 16:46:30.395718,0 days 00:00:08.639596,0.14984553687526234,107,762.5137091537614,298,46,1.8732438837829073,6.9542011181443275,COMPLETE
