,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_parncutt_prior_mu,params_parncutt_prior_sigma,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.1707871554418869,2023-04-06 17:58:25.939255,2023-04-06 17:58:40.419910,0 days 00:00:14.480655,0.09599074461543404,239,22,51,7.289808268862998,9.243601387151324,5.510535217159822,COMPLETE
1,1,0.23898834896277352,2023-04-06 17:58:40.420227,2023-04-06 17:58:44.757459,0 days 00:00:04.337232,0.3479022085465498,288,17,179,1.469157690579035,1.5394408680817842,7.520461021592599,COMPLETE
2,2,0.10720375106564366,2023-04-06 17:58:44.757915,2023-04-06 17:58:47.740816,0 days 00:00:02.982901,0.5110004639671105,265,12,58,4.450545657677713,2.1353702182118233,5.493333352642624,COMPLETE
3,3,0.21930946291560102,2023-04-06 17:58:47.741125,2023-04-06 17:58:50.730044,0 days 00:00:02.988919,0.45873951780697125,267,37,84,2.1353316058834704,5.590878920543358,7.7253751154136046,COMPLETE
4,4,0.10244387610116512,2023-04-06 17:58:50.730365,2023-04-06 17:58:57.151071,0 days 00:00:06.420706,0.22608690465282946,294,16,48,1.8651343515227268,2.4592134341539476,6.059530356501746,COMPLETE
5,5,0.00973287865870986,2023-04-06 17:58:57.151383,2023-04-06 17:58:59.225194,0 days 00:00:02.073811,0.6778230800980903,250,40,269,4.342650029481014,0.6426609740456241,7.873603972958877,COMPLETE
6,6,0.00980392156862745,2023-04-06 17:58:59.225654,2023-04-06 17:59:00.949017,0 days 00:00:01.723363,0.8548677377848981,262,47,31,6.636670235002242,5.976281746738634,2.965901759312169,COMPLETE
7,7,0.0,2023-04-06 17:59:00.949332,2023-04-06 17:59:02.338839,0 days 00:00:01.389507,0.9668160253878861,198,37,44,6.060650597952705,1.684335402799686,8.91765852714813,COMPLETE
8,8,0.15125035521454958,2023-04-06 17:59:02.339166,2023-04-06 17:59:06.672622,0 days 00:00:04.333456,0.2608004956225204,247,42,229,2.1350304319831377,3.1133797380914805,1.9642275442088093,COMPLETE
9,9,0.00980392156862745,2023-04-06 17:59:06.672937,2023-04-06 17:59:09.900451,0 days 00:00:03.227514,0.5018785072932097,292,17,251,4.848714419468572,7.15969759282715,9.40094770336859,COMPLETE
10,10,0.26349815288434214,2023-04-06 17:59:09.900760,2023-04-06 17:59:20.156849,0 days 00:00:10.256089,0.10210271375161106,201,25,165,0.21766735720291397,3.9916088509914234,9.881002681679508,COMPLETE
11,11,0.07814720090934925,2023-04-06 17:59:20.157177,2023-04-06 17:59:52.203598,0 days 00:00:32.046421,0.03161479872470835,187,27,166,0.04032820615591001,3.877613920720485,9.977878945078395,COMPLETE
12,12,0.21476271668087524,2023-04-06 17:59:52.203937,2023-04-06 17:59:57.002746,0 days 00:00:04.798809,0.22359480790728642,218,27,164,0.18230868415886323,3.981818578887397,7.537276593536397,COMPLETE
13,13,0.4926115373685706,2023-04-06 17:59:57.003061,2023-04-06 18:00:00.222536,0 days 00:00:03.219475,0.3539157204310263,215,23,119,1.1437836948524627,0.523648204722885,9.788545788189685,COMPLETE
14,14,0.5949133276499006,2023-04-06 18:00:00.222852,2023-04-06 18:00:42.125234,0 days 00:00:41.902382,0.023940338223835067,214,23,110,2.922093526104856,0.5333008477689027,9.721084417417593,COMPLETE
15,15,0.5950554134697357,2023-04-06 18:00:42.125544,2023-04-06 18:00:55.662101,0 days 00:00:13.536557,0.0699893484573531,223,33,110,3.232209703883584,0.6859811550093434,8.63241638648443,COMPLETE
16,16,0.6045751633986928,2023-04-06 18:00:55.662607,2023-04-06 18:02:09.974879,0 days 00:01:14.312272,0.014555441577147603,225,32,113,3.1805732380488374,0.5413485847118811,8.487649689184913,COMPLETE
17,17,0.5949133276499006,2023-04-06 18:02:09.975332,2023-04-06 18:02:17.581878,0 days 00:00:07.606546,0.14317274633523447,230,32,122,3.1935867540540546,2.7366799618317703,6.689482069179535,COMPLETE
18,18,0.27330207445296956,2023-04-06 18:02:17.582322,2023-04-06 18:04:11.776597,0 days 00:01:54.194275,0.010889104737620694,227,32,219,3.3737513652056386,1.419918750052752,4.493762320185722,COMPLETE
19,19,0.28758169934640526,2023-04-06 18:04:11.776916,2023-04-06 18:04:16.677628,0 days 00:00:04.900712,0.1584486033444592,180,47,88,5.290964795556759,3.16732266658024,8.558397119296403,COMPLETE
20,20,0.1707871554418869,2023-04-06 18:04:16.678083,2023-04-06 18:04:22.242595,0 days 00:00:05.564512,0.15973914429018862,203,35,299,3.7667455000695482,1.644238893221692,8.49534076718522,COMPLETE
21,21,0.5363739698778062,2023-04-06 18:04:22.242925,2023-04-06 18:06:07.998521,0 days 00:01:45.755596,0.010424465587361173,221,30,130,2.683366763927375,0.5205643122026358,8.94815962895282,COMPLETE
22,22,0.5947712418300654,2023-04-06 18:06:07.998876,2023-04-06 18:06:17.697112,0 days 00:00:09.698236,0.10118979629986308,206,20,94,3.0219711748449116,1.0962044698359699,8.489883426868404,COMPLETE
23,23,0.004901960784313725,2023-04-06 18:06:17.697573,2023-04-06 18:06:28.294515,0 days 00:00:10.596942,0.10550552465692663,238,29,11,3.8239890198805453,2.1447542993411255,6.854835817845761,COMPLETE
24,24,0.5022733731173629,2023-04-06 18:06:28.294900,2023-04-06 18:08:02.840749,0 days 00:01:34.545849,0.011659145456104256,211,33,139,2.670743711653646,1.122673384825418,9.233576581532008,COMPLETE
25,25,0.3657289002557545,2023-04-06 18:08:02.841070,2023-04-06 18:08:07.749696,0 days 00:00:04.908626,0.21328410463715677,230,40,101,3.740842814148536,0.5138574086420434,8.287288222284172,COMPLETE
26,26,0.24367718101733446,2023-04-06 18:08:07.750028,2023-04-06 18:08:22.344658,0 days 00:00:14.594630,0.06356346110173183,189,26,69,3.1797762482291376,2.0315157626953884,8.952435912372035,COMPLETE
27,27,0.15615231599886334,2023-04-06 18:08:22.344978,2023-04-06 18:08:28.017950,0 days 00:00:05.672972,0.17558881724579897,225,44,194,4.132803570620135,1.236477194435456,9.463055610662867,COMPLETE
