,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.14627735152031826,2023-04-06 16:13:13.317627,2023-04-06 16:13:15.977540,0 days 00:00:02.659913,0.8179661048857655,272,23,1.8536158918862313,8.2060651320662,COMPLETE
1,1,0.2877237851662404,2023-04-06 16:13:15.977980,2023-04-06 16:13:19.517835,0 days 00:00:03.539855,0.4403821172492691,268,11,1.541346618375146,8.270306635620468,COMPLETE
2,2,0.29262574595055413,2023-04-06 16:13:19.518147,2023-04-06 16:13:21.341203,0 days 00:00:01.823056,0.9413997304278691,265,40,9.681874235591241,1.2960381925628053,COMPLETE
3,3,0.12198067632850242,2023-04-06 16:13:21.341506,2023-04-06 16:13:23.739109,0 days 00:00:02.397603,0.7091666269340069,289,44,0.5011388171247048,8.827263765700126,COMPLETE
4,4,0.2100738846263143,2023-04-06 16:13:23.739416,2023-04-06 16:13:25.433962,0 days 00:00:01.694546,0.8498617596029193,218,38,8.1426837012351,6.345177385429926,COMPLETE
5,5,0.3756749076442171,2023-04-06 16:13:25.434270,2023-04-06 16:13:31.503280,0 days 00:00:06.069010,0.2592229365654633,295,27,5.663905835439179,1.638255633767554,COMPLETE
6,6,0.2634271099744246,2023-04-06 16:13:31.503584,2023-04-06 16:13:33.852267,0 days 00:00:02.348683,0.7624518229105482,291,28,6.624418776334901,0.616192756030655,COMPLETE
7,7,0.4585109406081273,2023-04-06 16:13:33.852569,2023-04-06 16:13:37.551173,0 days 00:00:03.698604,0.3145443918554462,216,13,2.6744842772496225,2.264170566527037,COMPLETE
8,8,0.3458368854788292,2023-04-06 16:13:37.551482,2023-04-06 16:13:39.078246,0 days 00:00:01.526764,0.8643799127058559,220,35,4.87963486009054,2.270040003348152,COMPLETE
9,9,0.41467746518897414,2023-04-06 16:13:39.078537,2023-04-06 16:13:59.712017,0 days 00:00:20.633480,0.06974432357742448,254,32,9.648040526468066,3.5069775287558067,COMPLETE
10,10,0.5212418300653595,2023-04-06 16:13:59.712328,2023-04-06 16:14:01.873800,0 days 00:00:02.161472,0.5097869488005975,180,10,3.3563511256386063,4.270407636259744,COMPLETE
11,11,0.47279056550156295,2023-04-06 16:14:01.874096,2023-04-06 16:14:04.143655,0 days 00:00:02.269559,0.49066690807058455,185,12,3.372326338993545,3.883752537436386,COMPLETE
12,12,0.45822676896845693,2023-04-06 16:14:04.143951,2023-04-06 16:14:06.090207,0 days 00:00:01.946256,0.5624887504353233,181,18,3.618043994758349,4.502858542262603,COMPLETE
13,13,0.44366297243535097,2023-04-06 16:14:06.090505,2023-04-06 16:14:08.011810,0 days 00:00:01.921305,0.5801411441322042,184,18,3.3879848723611334,5.3836017097388025,COMPLETE
14,14,0.45829781187837454,2023-04-06 16:14:08.012108,2023-04-06 16:14:10.558181,0 days 00:00:02.546073,0.4524842312097238,198,10,4.2311932938268395,3.4860560946379278,COMPLETE
15,15,0.35613810741687985,2023-04-06 16:14:10.558486,2023-04-06 16:14:12.512175,0 days 00:00:01.953689,0.6341425701769132,200,18,3.0132203490430056,6.119916067724912,COMPLETE
16,16,0.3511651037226485,2023-04-06 16:14:12.512489,2023-04-06 16:14:14.706786,0 days 00:00:02.194297,0.6532356430621595,237,15,4.99934212653098,3.882857883731973,COMPLETE
17,17,0.42433930093776634,2023-04-06 16:14:14.707086,2023-04-06 16:14:17.050215,0 days 00:00:02.343129,0.4867351243839697,199,22,4.233077276198147,5.0378817795894815,COMPLETE
18,18,0.2781329923273657,2023-04-06 16:14:17.050515,2023-04-06 16:14:19.958267,0 days 00:00:02.907752,0.384110469930535,234,50,2.3341547958199493,9.911697969570607,COMPLETE
19,19,0.4874254049445865,2023-04-06 16:14:19.958572,2023-04-06 16:14:21.969691,0 days 00:00:02.011119,0.536041299982336,188,25,5.9970891035804,2.912464329864193,COMPLETE
20,20,0.4340721795964763,2023-04-06 16:14:21.969992,2023-04-06 16:14:23.748038,0 days 00:00:01.778046,0.6995192807217367,206,23,6.45058741440713,2.742911034975717,COMPLETE
21,21,0.4630576868428531,2023-04-06 16:14:23.748334,2023-04-06 16:14:25.796137,0 days 00:00:02.047803,0.5596277348214053,187,15,4.233099375375457,3.0704038319817317,COMPLETE
22,22,0.47286160841148056,2023-04-06 16:14:25.796431,2023-04-06 16:14:28.083265,0 days 00:00:02.286834,0.5197942530696574,192,10,5.8494040143651,4.255889890215322,COMPLETE
