,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_c1,params_c2,params_gamma,params_max_bpm,params_min_bpm,params_time_window,params_w,state
0,0,0.024367718101733448,2023-04-11 18:11:03.869389,2023-04-11 18:12:47.322240,0 days 00:01:43.452851,0.26921539159836483,0.6370105781396629,0.7367575169876648,0.7223070047269767,0.9143188368889611,254,44,3,0.3751468150933681,COMPLETE
1,1,0.04397556123898835,2023-04-11 18:12:47.322606,2023-04-11 18:14:30.165371,0 days 00:01:42.842765,0.32737106455234166,0.5590692890581119,0.7076331428526353,0.08166032090310693,0.8754789608784791,261,32,5,0.5140389478566266,COMPLETE
2,2,0.029198635976129584,2023-04-11 18:14:30.165855,2023-04-11 18:16:11.899135,0 days 00:01:41.733280,0.3502206658440743,0.3770437594740571,0.3259121894843727,0.7623808098503139,0.8067527753497061,282,46,6,0.14668863691060796,COMPLETE
3,3,0.034313725490196074,2023-04-11 18:16:11.899460,2023-04-11 18:18:08.668414,0 days 00:01:56.768954,0.2086119000050337,0.23373282890035552,0.24911083535929224,0.3746700925643991,0.5164674486824328,226,39,5,0.9676713146177794,COMPLETE
4,4,0.07331628303495312,2023-04-11 18:18:08.668768,2023-04-11 18:19:51.705729,0 days 00:01:43.036961,0.7809528058950893,0.21978186167623914,0.641264680023481,0.8551659734863643,0.3586324015680059,230,36,1,0.6033475625608421,COMPLETE
5,5,0.04887752202330207,2023-04-11 18:19:51.706232,2023-04-11 18:21:34.583455,0 days 00:01:42.877223,0.13777117323156585,0.33821027626808176,0.2351049645189237,0.39640193300173354,0.6237016524268351,267,32,4,0.28089136429845196,COMPLETE
6,6,0.05370843989769821,2023-04-11 18:21:34.583783,2023-04-11 18:23:17.572250,0 days 00:01:42.988467,0.16006560435694683,0.7205674996682896,0.49665587584420734,0.9981425777810966,0.34946550429566337,299,43,7,0.6302598837427958,COMPLETE
7,7,0.06337027564649049,2023-04-11 18:23:17.572609,2023-04-11 18:25:17.118344,0 days 00:01:59.545735,0.003735066063253023,0.17695647756409327,0.9537946553093918,0.21575565543468822,0.6713837190487565,187,18,2,0.952864129976528,COMPLETE
8,8,0.029269678886047173,2023-04-11 18:25:17.118897,2023-04-11 18:26:57.941825,0 days 00:01:40.822928,0.20157441751473415,0.5171839031500772,0.5988222481961676,0.5624516582149209,0.40264119011131183,244,15,1,0.42353255553268987,COMPLETE
9,9,0.04887752202330207,2023-04-11 18:26:57.942174,2023-04-11 18:28:43.102892,0 days 00:01:45.160718,0.5500967572602405,0.7229873796814626,0.5102101396415953,0.6591112998961346,0.6820711488496541,260,42,4,0.7637170262084993,COMPLETE
10,10,0.048735436203466896,2023-04-11 18:28:43.103241,2023-04-11 18:30:23.640196,0 days 00:01:40.536955,0.8124452171785025,0.9943017128760171,0.14471301491632782,0.9768844684590463,0.11857650733937386,211,26,9,0.03194771468929092,COMPLETE
11,11,0.04390451832907075,2023-04-11 18:30:23.640688,2023-04-11 18:32:12.658988,0 days 00:01:49.018300,0.03278277305902683,0.006692668608289987,0.9840266977938501,0.1332811969916728,0.26045776276746047,181,10,1,0.9369253368366486,COMPLETE
12,12,0.07317419721511793,2023-04-11 18:32:12.659334,2023-04-11 18:33:56.580483,0 days 00:01:43.921149,0.9314627753101108,0.10554020800603942,0.9850752194058463,0.2414102539923909,0.528031875533626,181,22,2,0.7485141499317728,COMPLETE
13,13,0.024367718101733448,2023-04-11 18:33:56.580823,2023-04-11 18:35:40.194090,0 days 00:01:43.613267,0.9858054339824013,0.06151255468608442,0.827741623684998,0.266715374782343,0.042596334962871074,206,23,2,0.6970114162047556,COMPLETE
14,14,0.05861040068201193,2023-04-11 18:35:40.194644,2023-04-11 18:37:21.959017,0 days 00:01:41.764373,0.7656759414194519,0.1142030990025048,0.8604733906876746,0.03748986842577173,0.484675124472316,219,34,1,0.5443334067454196,COMPLETE
15,15,0.0683432793407218,2023-04-11 18:37:21.959353,2023-04-11 18:39:07.211608,0 days 00:01:45.252255,0.9926324113076627,0.2560156140058413,0.9987236016936746,0.4480616092139802,0.3019051054407852,198,24,3,0.7962474993789366,COMPLETE
16,16,0.04390451832907075,2023-04-11 18:39:07.211941,2023-04-11 18:40:47.442115,0 days 00:01:40.230174,0.7157451510275374,0.10767651682876356,0.8373448770081329,0.2842413618091829,0.2540559075140678,233,36,10,0.5970180850330079,COMPLETE
