,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_c1,params_c2,params_gamma,params_max_bpm,params_min_bpm,params_time_window,params_w,state
0,0,0.00966183574879227,2023-04-11 12:30:39.255210,2023-04-11 12:32:21.555825,0 days 00:01:42.300615,0.38112457009688117,0.139710285987388,0.038338681650317175,0.4953044827827644,0.6689887928808083,297,15,4,0.6264645089424983,COMPLETE
1,1,0.014563796533105995,2023-04-11 12:32:21.556306,2023-04-11 12:34:02.455108,0 days 00:01:40.898802,0.3152366019649442,0.3372456179708925,0.9062608234209834,0.26480484798317216,0.5081847277451872,290,35,4,0.49927494033018505,COMPLETE
2,2,0.05356635407786303,2023-04-11 12:34:02.455457,2023-04-11 12:35:45.107258,0 days 00:01:42.651801,0.9753407901813709,0.6059158450669306,0.5056647743335358,0.6604536234969552,0.37536837807096446,290,41,4,0.206886143605143,COMPLETE
3,3,0.03410059676044331,2023-04-11 12:35:45.107602,2023-04-11 12:37:25.147039,0 days 00:01:40.039437,0.43723261723816564,0.9447866451212339,0.31634834369215414,0.1561297004036195,0.3540506521332387,274,12,9,0.3313731677490497,COMPLETE
4,4,0.04859335038363172,2023-04-11 12:37:25.147499,2023-04-11 12:39:07.494116,0 days 00:01:42.346617,0.07875109517377843,0.8118136555109466,0.23482144174527497,0.16683440387289294,0.13987413235235513,257,23,4,0.4471273157216844,COMPLETE
5,5,0.04880647911338448,2023-04-11 12:39:07.494484,2023-04-11 12:40:50.092825,0 days 00:01:42.598341,0.6941785530503953,0.7818251602042018,0.8160878474668743,0.17214079184936204,0.37072838369923533,221,20,7,0.2627849124344871,COMPLETE
6,6,0.06344131855640807,2023-04-11 12:40:50.093159,2023-04-11 12:42:32.229051,0 days 00:01:42.135892,0.17141028240332135,0.6119381663995855,0.6515450182651622,0.4778906752022549,0.912908290074912,281,32,1,0.20803001943272237,COMPLETE
7,7,0.02912759306621199,2023-04-11 12:42:32.229512,2023-04-11 12:44:15.081992,0 days 00:01:42.852480,0.5976463279210282,0.3290623161325009,0.2738973951635747,0.6441489113547153,0.22414070344124193,216,46,2,0.12791583979914467,COMPLETE
8,8,0.014634839443023587,2023-04-11 12:44:15.082321,2023-04-11 12:45:56.497599,0 days 00:01:41.415278,0.5497076258665007,0.017791133356753863,0.9671103825627416,0.03546663677117445,0.513274991960221,297,24,10,0.2544413660108048,COMPLETE
9,9,0.04880647911338448,2023-04-11 12:45:56.497935,2023-04-11 12:47:37.664344,0 days 00:01:41.166409,0.9110771204206457,0.7030730689475354,0.9064152985194488,0.5856298951825042,0.4204741635898208,201,21,7,0.1865202276583754,COMPLETE
10,10,0.05363739698778062,2023-04-11 12:47:37.664798,2023-04-11 12:49:19.041612,0 days 00:01:41.376814,0.014439857097103381,0.5314746341500968,0.6677835971808485,0.9621335996081296,0.9870325969849371,250,32,1,0.018242657603133344,COMPLETE
11,11,0.05861040068201193,2023-04-11 12:49:19.041975,2023-04-11 12:51:00.206029,0 days 00:01:41.164054,0.005406101069805755,0.518016285981525,0.6677456657992615,0.9662700419813284,0.9543679330198612,250,32,1,0.01828539518468591,COMPLETE
12,12,0.02429667519181586,2023-04-11 12:51:00.206386,2023-04-11 12:52:40.816803,0 days 00:01:40.610417,0.19001623858700284,0.4663011129020083,0.6660952349387257,0.8590733340015934,0.9988479843024208,266,37,1,0.01403499477685778,COMPLETE
13,13,0.06827223643080421,2023-04-11 12:52:40.817291,2023-04-11 12:54:23.872237,0 days 00:01:43.054946,0.21062417215881268,0.6034120047769581,0.6617016719650191,0.4011649898691073,0.8134073296885829,240,29,2,0.6625952103979216,COMPLETE
