,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_gaussian_prior_mu,params_gaussian_prior_sigma,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.3385416666666667,2023-04-04 03:06:04.492706,2023-04-04 03:06:05.390367,0 days 00:00:00.897661,0.7905697342344046,123,451.9318127837474,229,15,6.648362054063917,7.859400611070225,COMPLETE
1,1,0.026041666666666668,2023-04-04 03:06:05.390682,2023-04-04 03:06:06.624702,0 days 00:00:01.234020,0.5584834872678998,229,306.80971426003265,244,12,1.3057801206708548,6.629999121614358,COMPLETE
2,2,0.3125,2023-04-04 03:06:06.625023,2023-04-04 03:06:08.690535,0 days 00:00:02.065512,0.3319935052097963,57,589.2434261045368,277,30,6.921891977971079,6.560807919381137,COMPLETE
3,3,0.4635416666666667,2023-04-04 03:06:08.690847,2023-04-04 03:06:09.334248,0 days 00:00:00.643401,0.9307799924236656,147,415.42183198919486,194,39,5.918016786340796,1.350434513220077,COMPLETE
4,4,0.4166666666666667,2023-04-04 03:06:09.334558,2023-04-04 03:06:10.930094,0 days 00:00:01.595536,0.32084331597128013,167,784.1511103649032,206,19,3.4079975938649687,4.26670135521468,COMPLETE
5,5,0.03125,2023-04-04 03:06:10.930409,2023-04-04 03:06:12.587677,0 days 00:00:01.657268,0.32823392979935273,18,626.7571853966559,210,10,3.4818458966589594,3.4044214552005623,COMPLETE
6,6,0.3854166666666667,2023-04-04 03:06:12.587986,2023-04-04 03:06:14.737899,0 days 00:00:02.149913,0.29694813368384326,170,891.3371374102667,274,29,4.272732937322578,4.027813094191335,COMPLETE
7,7,0.08333333333333333,2023-04-04 03:06:14.738221,2023-04-04 03:06:16.063542,0 days 00:00:01.325321,0.41536176699528565,268,988.0891247125357,215,33,8.114190621207616,1.5138556054704453,COMPLETE
8,8,0.5885416666666666,2023-04-04 03:06:16.063852,2023-04-04 03:06:17.562976,0 days 00:00:01.499124,0.43311574978697953,134,876.87638783631,245,10,4.043880153488937,1.5490524121473135,COMPLETE
9,9,0.005208333333333333,2023-04-04 03:06:17.563285,2023-04-04 03:06:20.416234,0 days 00:00:02.852949,0.19834666171258905,259,471.74068150965854,258,41,3.7619894786169064,8.927865727975636,COMPLETE
10,10,0.6354166666666666,2023-04-04 03:06:20.416563,2023-04-04 03:06:27.204462,0 days 00:00:06.787899,0.10785104764967668,93,144.0127834869631,295,50,9.965196114152596,0.593456480035865,COMPLETE
11,11,0.6197916666666666,2023-04-04 03:06:27.204779,2023-04-04 03:06:58.994971,0 days 00:00:31.790192,0.03202146054903254,92,65.14760346269532,299,48,9.696681273299825,0.9553651700956789,COMPLETE
12,12,0.2760416666666667,2023-04-04 03:06:58.995306,2023-04-04 03:07:34.139990,0 days 00:00:35.144684,0.02747020592046369,81,22.194568753301503,297,50,9.816257124652461,0.6336537779871341,COMPLETE
13,13,0.28125,2023-04-04 03:07:34.140320,2023-04-04 03:07:44.310187,0 days 00:00:10.169867,0.07468772090415247,84,22.551229097695966,299,47,9.99055342545903,2.6020492196835514,COMPLETE
14,14,0.3333333333333333,2023-04-04 03:07:44.310675,2023-04-04 03:07:49.246489,0 days 00:00:04.935814,0.13731766798678555,18,193.82161145253482,277,44,8.234261531551537,0.5106968749374465,COMPLETE
15,15,0.671875,2023-04-04 03:07:49.246813,2023-04-04 03:08:22.708457,0 days 00:00:33.461644,0.02875872471349328,99,172.34071591742196,289,37,8.67514699825092,2.6454664111314714,COMPLETE
16,16,0.14583333333333334,2023-04-04 03:08:22.708779,2023-04-04 03:08:26.433884,0 days 00:00:03.725105,0.1788006178690399,203,193.06840253344683,262,35,8.556584859134777,2.3084812055087784,COMPLETE
17,17,0.46875,2023-04-04 03:08:26.434213,2023-04-04 03:09:13.718392,0 days 00:00:47.284179,0.021401040779103875,50,180.5184975519643,285,25,8.830774064953605,2.702878996117537,COMPLETE
18,18,0.625,2023-04-04 03:09:13.718996,2023-04-04 03:09:17.908943,0 days 00:00:04.189947,0.17341849574900228,113,345.43200550020936,286,39,7.216806330517649,4.584790989728962,COMPLETE
19,19,0.010416666666666666,2023-04-04 03:09:17.909419,2023-04-04 03:09:23.925025,0 days 00:00:06.015606,0.12069667690689884,297,282.037284119585,260,23,9.035507615596115,3.2979788356062114,COMPLETE
20,20,0.2552083333333333,2023-04-04 03:09:23.925355,2023-04-04 03:09:26.347769,0 days 00:00:02.422414,0.22602505155749347,50,89.46829446683229,231,45,7.755484669386274,1.8231622116710626,COMPLETE
21,21,0.671875,2023-04-04 03:09:26.348095,2023-04-04 03:09:32.887558,0 days 00:00:06.539463,0.11247347517071714,111,336.67191057648506,286,38,7.430372361284229,4.504053415129456,COMPLETE
