,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_resonance_prior_beta,params_resonance_prior_bpm_ext,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.4583333333333333,2023-04-04 04:59:01.478116,2023-04-04 04:59:05.651098,0 days 00:00:04.172982,0.11812044323173257,209,45,5.670025179894241,201,7.146348009652885,6.3523118266918495,COMPLETE
1,1,0.3958333333333333,2023-04-04 04:59:05.651414,2023-04-04 04:59:17.553445,0 days 00:00:11.902031,0.04572156207617287,210,31,0.8981258141067567,185,8.019115898247296,8.962593608675109,COMPLETE
2,2,0.296875,2023-04-04 04:59:17.553758,2023-04-04 04:59:19.849674,0 days 00:00:02.295916,0.26850257637455366,252,16,2.9740666982457413,170,4.330619764215827,8.495538436451794,COMPLETE
3,3,0.453125,2023-04-04 04:59:19.849985,2023-04-04 04:59:27.592911,0 days 00:00:07.742926,0.07595685379323948,216,20,5.50908590457442,264,8.626225730305551,1.6043199721143109,COMPLETE
4,4,0.3802083333333333,2023-04-04 04:59:27.593224,2023-04-04 04:59:28.671825,0 days 00:00:01.078601,0.39459517407610845,184,46,6.572401283695881,210,3.2296329555315686,7.631782600062341,COMPLETE
5,5,0.3385416666666667,2023-04-04 04:59:28.672134,2023-04-04 04:59:30.243432,0 days 00:00:01.571298,0.47079600210911793,277,12,7.327937113328695,76,1.7711669667583014,7.582853859359616,COMPLETE
6,6,0.078125,2023-04-04 04:59:30.243748,2023-04-04 04:59:31.906926,0 days 00:00:01.663178,0.4061647011417395,278,34,6.97782950800564,274,5.0328846455807765,9.122893853323987,COMPLETE
7,7,0.15104166666666666,2023-04-04 04:59:31.907240,2023-04-04 04:59:32.878655,0 days 00:00:00.971415,0.5004764785605984,191,47,3.691260969807404,294,9.007892417951714,9.231315093505561,COMPLETE
8,8,0.390625,2023-04-04 04:59:32.878977,2023-04-04 04:59:33.699187,0 days 00:00:00.820210,0.8678740687150486,238,23,4.236995791922661,125,2.3920119981830212,2.666871484360375,COMPLETE
9,9,0.06770833333333333,2023-04-04 04:59:33.699502,2023-04-04 04:59:36.361520,0 days 00:00:02.662018,0.1417380976884065,182,43,0.10761478051086018,274,3.2528267504205655,7.75136723002587,COMPLETE
