,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.34375,2023-04-04 02:41:05.245582,2023-04-04 02:41:08.459370,0 days 00:00:03.213788,0.23926440251243616,287,21,9.378073022455885,0.7875782937492475,COMPLETE
1,1,0.21875,2023-04-04 02:41:08.459654,2023-04-04 02:41:09.347140,0 days 00:00:00.887486,0.7252804904206016,221,30,5.7666619810296025,9.83466903366466,COMPLETE
2,2,0.3854166666666667,2023-04-04 02:41:09.347429,2023-04-04 02:41:35.321643,0 days 00:00:25.974214,0.02774917533199512,266,26,4.91511092796602,7.1945347371319395,COMPLETE
3,3,0.3177083333333333,2023-04-04 02:41:35.321932,2023-04-04 02:41:37.998638,0 days 00:00:02.676706,0.21522709898557732,267,37,1.9182970748172354,8.127081412963385,COMPLETE
4,4,0.4010416666666667,2023-04-04 02:41:37.998929,2023-04-04 02:41:39.548484,0 days 00:00:01.549555,0.3617644160554845,211,14,5.998153276736098,8.605347686117371,COMPLETE
5,5,0.2916666666666667,2023-04-04 02:41:39.548773,2023-04-04 02:41:40.618323,0 days 00:00:01.069550,0.7344865391824137,273,17,9.470969128695897,3.1106620337353013,COMPLETE
6,6,0.359375,2023-04-04 02:41:40.618619,2023-04-04 02:41:45.316764,0 days 00:00:04.698145,0.1333378755954566,265,49,8.398120117054363,9.236407289797361,COMPLETE
7,7,0.484375,2023-04-04 02:41:45.317056,2023-04-04 02:41:50.161744,0 days 00:00:04.844688,0.09949581166740622,220,49,4.024540273191305,3.2129362071540224,COMPLETE
8,8,0.171875,2023-04-04 02:41:50.162033,2023-04-04 02:41:51.020659,0 days 00:00:00.858626,0.9861010705113835,298,41,7.3121133683598805,3.657809643105491,COMPLETE
9,9,0.4270833333333333,2023-04-04 02:41:51.020948,2023-04-04 02:41:51.754695,0 days 00:00:00.733747,0.8130785662886545,222,49,7.528816810842074,0.5062020122002437,COMPLETE
