,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_gaussian_prior_mu,params_gaussian_prior_sigma,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.020833333333333332,2023-04-04 00:30:12.654639,2023-04-04 00:30:13.879373,0 days 00:00:01.224734,0.6011390956852319,289,716.6951214102451,266,11,5.74055239518982,1.2228452366481957,COMPLETE
1,1,0.671875,2023-04-04 00:30:13.879691,2023-04-04 00:30:15.610565,0 days 00:00:01.730874,0.40752529851047736,113,986.2814079703503,254,12,9.944399194324271,0.9447042551086318,COMPLETE
2,2,0.07291666666666667,2023-04-04 00:30:15.610879,2023-04-04 00:30:18.572993,0 days 00:00:02.962114,0.18165053608715043,221,193.5882972725157,229,12,2.0258474498279804,9.307098329151861,COMPLETE
3,3,0.036458333333333336,2023-04-04 00:30:18.573301,2023-04-04 00:30:19.706293,0 days 00:00:01.132992,0.4471529235735228,269,755.1036002709062,196,39,9.366680122061263,6.920609067760231,COMPLETE
4,4,0.22395833333333334,2023-04-04 00:30:19.706609,2023-04-04 00:30:20.813928,0 days 00:00:01.107319,0.6496663683874002,168,397.0279096282026,287,49,5.9134605112678225,4.031943314199324,COMPLETE
5,5,0.09375,2023-04-04 00:30:20.814235,2023-04-04 00:30:28.368877,0 days 00:00:07.554642,0.08782417868804251,254,882.6549459321938,242,17,5.842670386961155,7.001787689189698,COMPLETE
6,6,0.005208333333333333,2023-04-04 00:30:28.369189,2023-04-04 00:30:29.325016,0 days 00:00:00.955827,0.6969667123877565,272,902.506537853462,243,33,9.176364549608971,4.627691315558843,COMPLETE
7,7,0.3645833333333333,2023-04-04 00:30:29.325329,2023-04-04 00:30:30.239843,0 days 00:00:00.914514,0.8589438914453155,50,803.1801976968998,279,31,4.051219050509266,1.7354447928939871,COMPLETE
8,8,0.53125,2023-04-04 00:30:30.240152,2023-04-04 00:30:38.922424,0 days 00:00:08.682272,0.07931463436131733,53,960.9052910774448,267,35,6.658077322248689,1.4841679408203985,COMPLETE
9,9,0.005208333333333333,2023-04-04 00:30:38.922809,2023-04-04 00:30:42.126262,0 days 00:00:03.203453,0.18635512307853824,246,77.01309193244566,277,37,1.118471074622361,9.854286568171341,COMPLETE
10,10,0.609375,2023-04-04 00:30:42.126587,2023-04-04 00:30:42.755641,0 days 00:00:00.629054,0.9989817016031572,111,549.6343930294742,181,22,9.936671652666128,0.5296841217532267,COMPLETE
11,11,0.578125,2023-04-04 00:30:42.755945,2023-04-04 00:30:43.389917,0 days 00:00:00.633972,0.9955994744527161,113,563.811805661137,185,22,9.989636038416366,0.83934213106438,COMPLETE
12,12,0.5885416666666666,2023-04-04 00:30:43.390234,2023-04-04 00:30:44.805684,0 days 00:00:01.415450,0.40800834241272294,118,996.367049751525,215,23,7.98848023781173,2.9084040136300606,COMPLETE
13,13,0.6666666666666666,2023-04-04 00:30:44.806005,2023-04-04 00:30:46.363115,0 days 00:00:01.557110,0.3611120070052437,103,584.4759867935279,213,24,7.840661667926458,0.5435714360357046,COMPLETE
14,14,0.3697916666666667,2023-04-04 00:30:46.363433,2023-04-04 00:30:47.997228,0 days 00:00:01.633795,0.3457268705792481,175,648.3930901766353,216,26,8.097502649979376,2.6973974055442937,COMPLETE
15,15,0.2760416666666667,2023-04-04 00:30:47.997552,2023-04-04 00:30:50.144255,0 days 00:00:02.146703,0.31310143259954765,12,404.6033328167259,251,16,7.84922747925066,2.701845244278896,COMPLETE
16,16,0.5052083333333334,2023-04-04 00:30:50.144579,2023-04-04 00:30:51.441323,0 days 00:00:01.296744,0.4635563980939857,68,819.0532979247923,218,17,8.340271468141093,0.6412164412286963,COMPLETE
17,17,0.5520833333333334,2023-04-04 00:30:51.441654,2023-04-04 00:30:53.110534,0 days 00:00:01.668880,0.2877813533827769,141,651.1321463491344,203,43,7.261754541139259,2.2641750708463864,COMPLETE
18,18,0.5885416666666666,2023-04-04 00:30:53.110856,2023-04-04 00:30:54.573630,0 days 00:00:01.462774,0.5415161188066037,85,992.720869640617,300,28,8.818325461952298,3.3840858013331063,COMPLETE
19,19,0.2708333333333333,2023-04-04 00:30:54.573961,2023-04-04 00:30:56.372605,0 days 00:00:01.798644,0.38116989302673915,190,860.4716569169624,257,10,7.017700163933376,2.0886148870298835,COMPLETE
20,20,0.4739583333333333,2023-04-04 00:30:56.372926,2023-04-04 00:30:57.597499,0 days 00:00:01.224573,0.5225551446332404,150,720.5800765409726,227,19,8.843883253420174,1.7062353825111591,COMPLETE
21,21,0.5989583333333334,2023-04-04 00:30:57.597816,2023-04-04 00:30:58.361268,0 days 00:00:00.763452,0.7598734541011345,124,517.7503043759313,192,24,9.937700147237315,0.5150306147650344,COMPLETE
22,22,0.5520833333333334,2023-04-04 00:30:58.361588,2023-04-04 00:30:59.358751,0 days 00:00:00.997163,0.5414972282411569,90,426.46324642999906,181,14,9.805780811628548,0.5487002013228887,COMPLETE
23,23,0.609375,2023-04-04 00:30:59.359069,2023-04-04 00:31:00.551366,0 days 00:00:01.192297,0.47109824927057187,93,605.1434299562234,203,20,8.941508363861216,1.354064558158178,COMPLETE
24,24,0.11979166666666667,2023-04-04 00:31:00.551690,2023-04-04 00:31:01.292264,0 days 00:00:00.740574,0.9776750428805864,25,486.19111155111915,235,28,9.150546042492852,1.5334201732622956,COMPLETE
25,25,0.4583333333333333,2023-04-04 00:31:01.292583,2023-04-04 00:31:02.111871,0 days 00:00:00.819288,0.8043155965481122,135,304.78175649050183,208,14,9.973034777030135,3.5950048375300896,COMPLETE
26,26,0.265625,2023-04-04 00:31:02.112195,2023-04-04 00:31:03.044721,0 days 00:00:00.932526,0.6038247176510307,195,577.242023050125,191,20,8.385958317950905,2.2573664067578267,COMPLETE
27,27,0.625,2023-04-04 00:31:03.045055,2023-04-04 00:31:03.890937,0 days 00:00:00.845882,0.8853168690532363,106,677.166295643982,252,27,7.595000750581474,0.6216289833871587,COMPLETE
28,28,0.5885416666666666,2023-04-04 00:31:03.891258,2023-04-04 00:31:05.509999,0 days 00:00:01.618741,0.3937379868405252,77,695.0319228488586,253,30,7.5494230574181325,1.2447113217390402,COMPLETE
29,29,0.4479166666666667,2023-04-04 00:31:05.510324,2023-04-04 00:31:06.694845,0 days 00:00:01.184521,0.5951713594033925,50,754.5152208719696,263,26,6.755203684071753,1.0952705405336522,COMPLETE
30,30,0.65625,2023-04-04 00:31:06.695171,2023-04-04 00:31:08.834931,0 days 00:00:02.139760,0.2845570303640894,99,919.2589677622725,248,41,7.550947457538253,1.9804985863512872,COMPLETE
31,31,0.6614583333333334,2023-04-04 00:31:08.835255,2023-04-04 00:31:11.030509,0 days 00:00:02.195254,0.2710414885605249,101,920.7490645507651,248,44,7.745090464126363,1.1642630725554508,COMPLETE
32,32,0.5260416666666666,2023-04-04 00:31:11.030835,2023-04-04 00:31:12.998582,0 days 00:00:01.967747,0.27000673128287195,65,923.8089676228037,230,44,6.343212610052672,2.0081340873770315,COMPLETE
33,33,0.671875,2023-04-04 00:31:12.998905,2023-04-04 00:31:15.254027,0 days 00:00:02.255122,0.24770340279360303,99,838.7393860960353,244,42,5.233209131743305,1.2369548130938015,COMPLETE
34,34,0.421875,2023-04-04 00:31:15.254353,2023-04-04 00:31:18.600195,0 days 00:00:03.345842,0.17469384146407665,161,859.3832869947457,264,50,4.680542347627494,1.1901168537803515,COMPLETE
