,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_parncutt_prior_mu,params_parncutt_prior_sigma,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.4479166666666667,2023-04-04 00:56:33.335778,2023-04-04 00:56:34.281767,0 days 00:00:00.945989,0.6681237440889254,235,34,137,3.9711572265980517,5.748756270263991,3.6648304902579736,COMPLETE
1,1,0.2708333333333333,2023-04-04 00:56:34.282069,2023-04-04 00:56:35.236230,0 days 00:00:00.954161,0.7960248982915286,250,12,70,2.634434679079614,1.8298966050182264,4.791824632770728,COMPLETE
2,2,0.026041666666666668,2023-04-04 00:56:35.236542,2023-04-04 00:56:36.079822,0 days 00:00:00.843280,0.9532672832751576,269,32,237,1.6696836153937369,6.035659940623426,6.858117128133971,COMPLETE
3,3,0.5,2023-04-04 00:56:36.080123,2023-04-04 00:56:37.325990,0 days 00:00:01.245867,0.40534280542358814,192,34,131,1.2906469838258017,9.389018161276029,7.9364117169269495,COMPLETE
4,4,0.15104166666666666,2023-04-04 00:56:37.326305,2023-04-04 00:56:38.975648,0 days 00:00:01.649343,0.27710966125853853,207,46,249,2.150805277047393,5.168549303400351,8.038074325529974,COMPLETE
5,5,0.11979166666666667,2023-04-04 00:56:38.975962,2023-04-04 00:56:40.293273,0 days 00:00:01.317311,0.44004894100251574,216,33,215,0.3630054692933032,0.8573463526624945,3.7130995509126854,COMPLETE
6,6,0.3489583333333333,2023-04-04 00:56:40.293597,2023-04-04 00:56:42.068715,0 days 00:00:01.775118,0.29312268820550563,216,40,201,5.991160508325786,7.525773575160718,4.903318128109964,COMPLETE
7,7,0.16145833333333334,2023-04-04 00:56:42.069027,2023-04-04 00:56:42.682355,0 days 00:00:00.613328,0.8817434525014064,180,44,209,2.3986763395763746,3.2243883858693256,4.960956394151763,COMPLETE
8,8,0.11458333333333333,2023-04-04 00:56:42.682672,2023-04-04 00:56:43.456544,0 days 00:00:00.773872,0.6986141593852195,180,27,258,4.921995552581597,5.6217155825167495,8.860192437880634,COMPLETE
9,9,0.19791666666666666,2023-04-04 00:56:43.456853,2023-04-04 00:56:45.316866,0 days 00:00:01.860013,0.295650921992918,251,50,231,5.833156990076849,4.502065652622342,3.381189068970301,COMPLETE
10,10,0.0625,2023-04-04 00:56:45.317177,2023-04-04 00:57:04.765318,0 days 00:00:19.448141,0.04340973166219353,293,20,21,7.994714818740862,9.702722285174863,1.2133297833718597,COMPLETE
11,11,0.421875,2023-04-04 00:57:04.765631,2023-04-04 00:57:05.731899,0 days 00:00:00.966268,0.6492194347273277,228,36,127,3.6086931530767243,8.758126395674637,7.247978607741735,COMPLETE
12,12,0.21875,2023-04-04 00:57:05.732225,2023-04-04 00:57:06.782481,0 days 00:00:01.050256,0.5464466260918637,203,26,139,0.12348963090134824,7.413858996367667,9.718199306770899,COMPLETE
13,13,0.5260416666666666,2023-04-04 00:57:06.782807,2023-04-04 00:57:08.219369,0 days 00:00:01.436562,0.5235079414462999,272,20,97,3.813131070988847,9.790902760261844,7.126401405034734,COMPLETE
14,14,0.4583333333333333,2023-04-04 00:57:08.219677,2023-04-04 00:57:09.824898,0 days 00:00:01.605221,0.47923389790556353,281,19,90,0.9714736578283817,9.957064110453949,6.727407151802866,COMPLETE
15,15,0.09375,2023-04-04 00:57:09.825214,2023-04-04 00:57:11.636108,0 days 00:00:01.810894,0.3926954884575942,265,20,298,3.153814717444024,8.512079210508375,8.089341570001917,COMPLETE
16,16,0.5260416666666666,2023-04-04 00:57:11.636428,2023-04-04 00:57:13.117126,0 days 00:00:01.480698,0.5643267493980562,294,11,92,1.45205892343043,9.931824493985172,5.9822671774916385,COMPLETE
17,17,0.203125,2023-04-04 00:57:13.117447,2023-04-04 00:57:14.539597,0 days 00:00:01.422150,0.5774221454727817,296,13,65,3.1442083507980554,7.4454019564806195,6.196500173803677,COMPLETE
18,18,0.0,2023-04-04 00:57:14.539967,2023-04-04 00:57:15.626221,0 days 00:00:01.086254,0.7828084804618018,281,10,19,1.7753801608219963,9.970773155220787,5.822802801973053,COMPLETE
19,19,0.14583333333333334,2023-04-04 00:57:15.626553,2023-04-04 00:57:16.991560,0 days 00:00:01.365007,0.5622433749844326,279,17,177,1.0610627733779705,8.478448670813645,9.987435277648911,COMPLETE
20,20,0.4114583333333333,2023-04-04 00:57:16.991883,2023-04-04 00:57:17.972643,0 days 00:00:00.980760,0.7615987795875319,256,24,94,4.6237548686228465,6.641376471919985,5.888799534862657,COMPLETE
21,21,0.5416666666666666,2023-04-04 00:57:17.972960,2023-04-04 00:57:19.975567,0 days 00:00:02.002607,0.40675262467554585,300,15,116,1.183519419893245,9.222062971686496,7.859861566066176,COMPLETE
22,22,0.5104166666666666,2023-04-04 00:57:19.975879,2023-04-04 00:57:21.549407,0 days 00:00:01.573528,0.5234271282084798,300,15,97,0.7596960151640189,9.06996444789093,7.323454824322874,COMPLETE
23,23,0.0,2023-04-04 00:57:21.549733,2023-04-04 00:57:22.838470,0 days 00:00:01.288737,0.6164245419329268,287,22,49,0.06678182828813162,8.186837188100368,8.71362875582378,COMPLETE
24,24,0.5416666666666666,2023-04-04 00:57:22.838792,2023-04-04 00:57:24.435234,0 days 00:00:01.596442,0.4695455541889334,269,10,107,1.9818051083059731,9.08181703029758,6.38511019363863,COMPLETE
25,25,0.3333333333333333,2023-04-04 00:57:24.435549,2023-04-04 00:57:26.002307,0 days 00:00:01.566758,0.4719297559595624,270,16,159,2.0657881017816404,9.093920540273446,7.403147160044401,COMPLETE
26,26,0.5208333333333334,2023-04-04 00:57:26.002630,2023-04-04 00:57:27.677497,0 days 00:00:01.674867,0.42932273501460927,260,14,115,2.853624881466235,9.045550650958225,6.77001095428389,COMPLETE
27,27,0.078125,2023-04-04 00:57:27.677830,2023-04-04 00:57:29.453634,0 days 00:00:01.775804,0.35382281470892984,243,28,56,2.443782639972728,8.214144372560478,8.81176606858027,COMPLETE
28,28,0.19791666666666666,2023-04-04 00:57:29.453959,2023-04-04 00:57:30.976005,0 days 00:00:01.522046,0.48670642062764724,274,17,184,1.8935501502531038,7.75159915835173,6.406410924051612,COMPLETE
29,29,0.328125,2023-04-04 00:57:30.976326,2023-04-04 00:57:32.007791,0 days 00:00:01.031465,0.6626071335990178,238,23,156,3.6030619421366765,6.922908420118299,7.711944129500592,COMPLETE
