,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.3645833333333333,2023-04-04 00:14:44.306882,2023-04-04 00:14:45.769877,0 days 00:00:01.462995,0.8882308687110203,248,20,6.900720293994538,2.187902966005498,COMPLETE
1,1,0.3125,2023-04-04 00:14:45.770342,2023-04-04 00:14:47.423566,0 days 00:00:01.653224,0.45316957857995727,293,49,0.9082649763991243,2.537912084948206,COMPLETE
2,2,0.4427083333333333,2023-04-04 00:14:47.423891,2023-04-04 00:14:52.586099,0 days 00:00:05.162208,0.11271280763156238,239,41,5.337812757101274,9.174265577794033,COMPLETE
3,3,0.3645833333333333,2023-04-04 00:14:52.586414,2023-04-04 00:14:53.396877,0 days 00:00:00.810463,0.8902477118199321,199,36,3.01508238542041,5.970242444948459,COMPLETE
4,4,0.390625,2023-04-04 00:14:53.397195,2023-04-04 00:14:55.614137,0 days 00:00:02.216942,0.28838902703236097,252,37,5.941827513318002,6.433244359875649,COMPLETE
5,5,0.4375,2023-04-04 00:14:55.614453,2023-04-04 00:14:56.690416,0 days 00:00:01.075963,0.5068395248117309,193,50,3.2428832374907857,9.25687259143863,COMPLETE
6,6,0.4583333333333333,2023-04-04 00:14:56.690728,2023-04-04 00:15:00.501001,0 days 00:00:03.810273,0.16988987182575047,251,37,8.44200009477873,0.8281329951066507,COMPLETE
7,7,0.21875,2023-04-04 00:15:00.501479,2023-04-04 00:15:01.234406,0 days 00:00:00.732927,0.9771787760198016,240,40,3.2990235970494868,7.661226158178628,COMPLETE
8,8,0.5104166666666666,2023-04-04 00:15:01.234705,2023-04-04 00:15:02.973434,0 days 00:00:01.738729,0.3035659526275348,214,26,6.190901821123904,1.1960537738278645,COMPLETE
9,9,0.2864583333333333,2023-04-04 00:15:02.973730,2023-04-04 00:15:04.153148,0 days 00:00:01.179418,0.5384033211628029,247,37,2.4612261829769517,9.381350571931485,COMPLETE
10,10,0.484375,2023-04-04 00:15:04.153441,2023-04-04 00:15:06.186523,0 days 00:00:02.033082,0.2982751047947969,213,12,9.69640663217645,4.189656089204269,COMPLETE
11,11,0.5208333333333334,2023-04-04 00:15:06.186822,2023-04-04 00:15:36.157137,0 days 00:00:29.970315,0.02588693679097298,213,11,9.262062802967051,4.046612692085096,COMPLETE
12,12,0.5,2023-04-04 00:15:36.157432,2023-04-04 00:15:41.989882,0 days 00:00:05.832450,0.10118788178213553,219,24,7.786816456569982,4.09565193663903,COMPLETE
13,13,0.5989583333333334,2023-04-04 00:15:41.990326,2023-04-04 00:16:04.513689,0 days 00:00:22.523363,0.030849485682262846,183,10,9.892558143945376,0.5301902722248182,COMPLETE
14,14,0.5729166666666666,2023-04-04 00:16:04.513989,2023-04-04 00:16:27.341549,0 days 00:00:22.827560,0.02961864415577181,188,10,9.84476401113304,3.366305225166856,COMPLETE
15,15,0.5989583333333334,2023-04-04 00:16:27.341841,2023-04-04 00:17:09.662898,0 days 00:00:42.321057,0.015645642663413215,180,17,9.98128592035566,2.313503990785204,COMPLETE
16,16,0.6145833333333334,2023-04-04 00:17:09.663224,2023-04-04 00:17:12.755601,0 days 00:00:03.092377,0.16782830469586296,184,17,8.480883757727987,0.9601064809970845,COMPLETE
17,17,0.3697916666666667,2023-04-04 00:17:12.756032,2023-04-04 00:17:16.421215,0 days 00:00:03.665183,0.20200733473253768,273,17,8.287681483722748,1.5460309311942226,COMPLETE
18,18,0.5677083333333334,2023-04-04 00:17:16.421522,2023-04-04 00:17:18.987673,0 days 00:00:02.566151,0.2068544595265963,202,29,7.547934200743043,0.5470521573517736,COMPLETE
19,19,0.5989583333333334,2023-04-04 00:17:18.987981,2023-04-04 00:17:20.237750,0 days 00:00:01.249769,0.40928065122021895,180,16,8.782184408742793,0.6107133928741093,COMPLETE
20,20,0.4895833333333333,2023-04-04 00:17:20.238199,2023-04-04 00:17:25.018069,0 days 00:00:04.779870,0.1268621995842995,229,21,7.3290115087365155,1.7570846583003483,COMPLETE
21,21,0.5885416666666666,2023-04-04 00:17:25.018361,2023-04-04 00:18:09.817907,0 days 00:00:44.799546,0.015429238567234197,184,16,9.77618537579107,2.6488501156088327,COMPLETE
22,22,0.5416666666666666,2023-04-04 00:18:09.818221,2023-04-04 00:18:42.889499,0 days 00:00:33.071278,0.022253426969066528,200,13,8.959440292799242,1.4806670481777973,COMPLETE
23,23,0.6041666666666666,2023-04-04 00:18:42.889935,2023-04-04 00:18:48.534320,0 days 00:00:05.644385,0.08778538354780051,181,19,9.879936849450022,2.3286753822244997,COMPLETE
24,24,0.5677083333333334,2023-04-04 00:18:48.534763,2023-04-04 00:18:53.041629,0 days 00:00:04.506866,0.11960749572147039,195,21,8.908223034672705,1.267083265020855,COMPLETE
25,25,0.5260416666666666,2023-04-04 00:18:53.041915,2023-04-04 00:18:55.620009,0 days 00:00:02.578094,0.22803370130001024,205,14,8.16001400445739,3.180482930752043,COMPLETE
26,26,0.5729166666666666,2023-04-04 00:18:55.620313,2023-04-04 00:19:00.614691,0 days 00:00:04.994378,0.10088716509980045,190,25,9.193714160595487,0.5457361908854803,COMPLETE
27,27,0.484375,2023-04-04 00:19:00.614989,2023-04-04 00:19:02.883789,0 days 00:00:02.268800,0.25164534888077483,223,31,8.273287574916282,1.8780891524065166,COMPLETE
28,28,0.5572916666666666,2023-04-04 00:19:02.884086,2023-04-04 00:19:06.486019,0 days 00:00:03.601933,0.15950147428702313,206,19,9.326527287089991,1.1836323370582937,COMPLETE
