,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_resonance_prior_beta,params_resonance_prior_bpm_ext,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.19955953395851092,2023-04-05 22:48:07.905005,2023-04-05 22:48:09.777423,0 days 00:00:01.872418,0.8132606716661688,268,41,1.8354852593980726,76,0.7078023924509883,3.693805356342416,COMPLETE
1,1,0.41929525433361753,2023-04-05 22:48:09.777728,2023-04-05 22:48:12.207937,0 days 00:00:02.430209,0.4707178687476763,215,33,4.182453694874135,111,0.8448286870591308,2.4772968889923463,COMPLETE
2,2,0.463412901392441,2023-04-05 22:48:12.208240,2023-04-05 22:48:15.923410,0 days 00:00:03.715170,0.2438650686956578,186,27,3.404422101536053,174,2.5995939141687856,3.806255171848184,COMPLETE
3,3,0.20474566638249503,2023-04-05 22:48:15.923734,2023-04-05 22:48:17.801225,0 days 00:00:01.877491,0.7975527828955328,268,46,2.656891179190069,169,5.198140683144073,3.5095210072415237,COMPLETE
4,4,0.07800511508951406,2023-04-05 22:48:17.801530,2023-04-05 22:48:20.775465,0 days 00:00:02.973935,0.48690078819728644,263,28,2.099903729930484,269,8.712296466988967,3.564354625519592,COMPLETE
5,5,0.17554703040636543,2023-04-05 22:48:20.775772,2023-04-05 22:48:24.767046,0 days 00:00:03.991274,0.33849521005702116,252,11,4.165996569481606,255,3.2429537176792524,4.594329193255895,COMPLETE
6,6,0.12190963341858481,2023-04-05 22:48:24.767363,2023-04-05 22:48:26.616340,0 days 00:00:01.848977,0.5838051766741317,186,34,2.6724848823021494,266,7.938273421313585,9.70270079432545,COMPLETE
7,7,0.2634271099744246,2023-04-05 22:48:26.616647,2023-04-05 22:48:29.631740,0 days 00:00:03.015093,0.3434439223740271,193,16,3.6585015332661808,43,3.405632531706041,1.2496678564859065,COMPLETE
8,8,0.2877237851662404,2023-04-05 22:48:29.632051,2023-04-05 22:48:33.020548,0 days 00:00:03.388497,0.4986928454342469,294,15,3.396644911998157,155,9.054245060503197,0.8710376644222302,COMPLETE
9,9,0.3120204603580563,2023-04-05 22:48:33.020858,2023-04-05 22:48:34.965597,0 days 00:00:01.944739,0.641087031046087,197,11,2.2247070782335103,209,3.3250731959422586,1.6320662406718545,COMPLETE
10,10,0.419721511793123,2023-04-05 22:48:34.965912,2023-04-05 22:48:45.878177,0 days 00:00:10.912265,0.11184342546408013,223,25,6.15892320187476,184,6.4243152367007,6.07625982070091,COMPLETE
11,11,0.4390451832907076,2023-04-05 22:48:45.878491,2023-04-05 22:49:08.113592,0 days 00:00:22.235101,0.05760426521480611,223,24,6.528865016019996,195,6.831787134010218,6.279079168245815,COMPLETE
12,12,0.4730747371412333,2023-04-05 22:49:08.113927,2023-04-05 22:51:52.686771,0 days 00:02:44.572844,0.0108901957960858,226,22,7.860010024901107,122,6.841066196233821,6.158940370413963,COMPLETE
13,13,0.46334185848252346,2023-04-05 22:51:52.687093,2023-04-05 22:54:02.414596,0 days 00:02:09.727503,0.014941189322919435,239,21,7.890409946167992,124,9.92699348217219,5.6512667687435325,COMPLETE
14,14,0.004901960784313725,2023-04-05 22:54:02.415039,2023-04-05 22:54:08.393755,0 days 00:00:05.978716,0.1761287869303651,208,38,0.2385254467522424,23,5.056624882644333,7.360650561242243,COMPLETE
